"";"ANO";"CLASSE";"VT";"VT.vp";"VA";"VA.vp";"VC";"VC.vp";"VI";"VI.vp";"QP";"QP.vp";"QA";"QA.vp";"QC";"QC.vp";"QI";"QI.vp";"VQ";"VQ.vp";"BA";"BA.vp";"CT";"CT.vp";"IT";"IT.vp"
"1";"2014";"Honorários-ANATOMIA PATOLÓGICA E CITOPATOLOGIA";579140,938333333;NA;112,244166666667;NA;109,213333333333;NA;80,9308333333333;NA;13929,25;NA;2,72666666666667;NA;2,6525;NA;1,95916666666667;NA;41,1784637099999;NA;5099,25;NA;5238,33333333333;NA;7100;NA
"2";"2015";"Honorários-ANATOMIA PATOLÓGICA E CITOPATOLOGIA";1019385,48833333;0,76016824379044;188,5225;0,679575033594911;183,096666666667;0,676504700280804;136,56;0,687366784394082;15113;0,0849830392878296;2,79166666666667;0,0238386308068459;2,7125;0,0226201696512724;2,0225;0,0323266695023376;67,4903447602642;0,638971896464283;5409,91666666667;0,0609239920903407;5571,08333333333;0,0635221126312441;7469,75;0,0520774647887324
"3";"2016";"Honorários-ANATOMIA PATOLÓGICA E CITOPATOLOGIA";1146488,785;0,124686193909314;189,644166666667;0,00594977610983825;183,554166666667;0,0024986801143293;138,708333333333;0,0157317906658831;17089,6666666667;0,130792474470105;2,82083333333333;0,0104477611940275;2,72916666666667;0,00614439324116872;2,0625;0,0197775030902349;67,2067947680402;-0,00420134158791466;6062,41666666667;0,12061183936906;6265,16666666667;0,124586779950041;8297,16666666667;0,110768990483841
"4";"2017";"Honorários-ANATOMIA PATOLÓGICA E CITOPATOLOGIA";959089,01875;-0,163455385435802;155,56;-0,179726944760584;149,9675;-0,182979592763264;107,68875;-0,223631721237607;14926,75;-0,126562835241571;2,44625;-0,132791728212702;2,36;-0,13526717557252;1,69;-0,180606060606061;63,7809916444144;-0,0509740590285511;6125,75;0,0104468789948998;6354,125;0,0141988773908643;8916,625;0,0746590201474395
"5";"2014";"Honorários-ANESTESIOLOGIA";24227,4083333333;NA;202,526666666667;NA;82,5816666666667;NA;82,5616666666667;NA;288,416666666667;NA;2,41416666666667;NA;0,978333333333333;NA;0,978333333333333;NA;84,4822019479496;NA;120,416666666667;NA;294,333333333333;NA;294,416666666667;NA
"6";"2015";"Honorários-ANESTESIOLOGIA";47519,9983333333;0,961414843863133;289,631666666667;0,430091510582968;102,041666666667;0,235645522613982;101,738333333333;0,232270827866035;467,5;0,620918809592601;2,86416666666667;0,186399723852261;1,00083333333333;0,022998296422484;0,998333333333333;0,0204429301533219;102,099029505918;0,208527087975551;163,666666666667;0,359169550173009;468;0,59003397508494;469,166666666667;0,59354656099632
"7";"2016";"Honorários-ANESTESIOLOGIA";21807,7366666667;-0,54108296650824;280,3075;-0,0321931878995747;176,101666666667;0,725781951817066;173,478333333333;0,705142276755732;141,666666666667;-0,696969696969696;1,65666666666667;-0,421588594704684;0,989166666666667;-0,0116569525395467;0,975;-0,0233722871452417;178,067101151909;0,744062622471721;69,8333333333333;-0,573319755600816;142,25;-0,696047008547009;144,416666666667;-0,692184724689165
"8";"2017";"Honorários-ANESTESIOLOGIA";10282,31875;-0,528501333853842;209,3125;-0,253275420743291;204,4575;0,161019676134049;204,4575;0,178576575364841;49,625;-0,649705882352942;1,0175;-0,385814889336017;0,9925;0,00336983993260294;0,9925;0,017948717948718;206,163812422463;0,157787211050202;48,875;-0,300119331742243;50,125;-0,647627416520211;50,125;-0,652914021927295
"9";"2014";"Honorários-ANGIOLOGIA - CIRURGIA VASCULAR E LINFÁTICA";18158,5833333333;NA;43,4341666666667;NA;25,655;NA;25,5316666666667;NA;1086,75;NA;2,59166666666667;NA;1,53416666666667;NA;1,5275;NA;16,7501303511372;NA;419,5;NA;708,333333333333;NA;711,75;NA
"10";"2015";"Honorários-ANGIOLOGIA - CIRURGIA VASCULAR E LINFÁTICA";17045,4241666667;-0,0613020931331795;46,7166666666667;0,0755741447784961;27,3091666666667;0,0644773598388891;27,2466666666667;0,0671714863894511;926,333333333333;-0,147611379495438;2,52916666666667;-0,0241157556270096;1,48416666666667;-0,0325909831613253;1,48083333333333;-0,0305510092744158;18,4552886871065;0,101799705448473;371,583333333333;-0,114223281684546;625;-0,117647058823529;626,416666666667;-0,119892284275845
"11";"2016";"Honorários-ANGIOLOGIA - CIRURGIA VASCULAR E LINFÁTICA";14534,5741666667;-0,147303462527504;52,7425;0,128986799857295;28,9775;0,0610905983949209;28,9058333333333;0,0608942989968167;738,416666666667;-0,202860741273839;2,6575;0,0507413509060943;1,46833333333333;-0,01066816395284;1,465;-0,0106921778277973;19,7698891423342;0,0712316386655131;285;-0,23301188607311;504,083333333333;-0,193466666666667;505,083333333333;-0,193694292936013
"12";"2017";"Honorários-ANGIOLOGIA - CIRURGIA VASCULAR E LINFÁTICA";14454,54;-0,00550646793975209;58,4325;0,107882637341802;28,21375;-0,0263566560262272;28,18375;-0,0249805402600387;722,5;-0,0215551292179216;2,91875;0,0983066792097836;1,41125;-0,0388762769580001;1,40875;-0,0383959044368602;20,0003606047708;0,011657701304105;249,75;-0,123684210526316;512;0,0157050752190452;512,5;0,0146840455370408
"13";"2014";"Honorários-CARDIOLOGIA SADT";1439893,5975;NA;86,0333333333333;NA;59,2825;NA;57,2866666666667;NA;24809,5;NA;1,48;NA;1,02166666666667;NA;0,985833333333333;NA;58,102379815243;NA;16723,6666666667;NA;24290,3333333333;NA;25135,5833333333;NA
"14";"2015";"Honorários-CARDIOLOGIA SADT";1814803,77666667;0,260373530250849;102,146666666667;0,187291747384739;70,2108333333333;0,184343327851108;67,7291666666667;0,182284999418131;26597,4166666667;0,0720658081245773;1,4975;0,0118243243243244;1,02833333333333;0,0065252854812332;0,995833333333333;0,0101437024513948;68,213053489107;0,174014794333975;17737,6666666667;0,0606326363835681;25829;0,0633448148097338;26775;0,0652229409170944
"15";"2016";"Honorários-CARDIOLOGIA SADT";1950887,32916667;0,0749852707216373;103,445833333333;0,0127186398642409;70,3908333333333;0,00256370693031712;68,13;0,00591817902183887;28437,9166666667;0,0691984497241273;1,51083333333333;0,00890372843628038;1,0275;-0,000810372771471553;0,995833333333333;0;68,5343546108258;0,00471025859837975;18833,9166666667;0,0618035066619058;27688,5833333333;0,0719959477073561;28607,0833333333;0,0684251478369113
"16";"2017";"Honorários-CARDIOLOGIA SADT";2051098,0925;0,0513667610810386;108,72125;0,0509968985378855;72,955;0,0364275651422419;70,0975;0,028878614413621;29229,25;0,0278266985099107;1,54625;0,0234418091560971;1,03875;0,010948905109489;0,99875;0,00292887029288738;70,2564521778583;0,0251275083395982;18884,25;0,00267248359563904;28152,125;0,0167412561735746;29297,875;0,0241475741730644
"17";"2014";"Honorários-CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";21931,35;NA;109,031666666667;NA;106,970833333333;NA;106,855833333333;NA;208,416666666667;NA;1,03333333333333;NA;1,01333333333333;NA;1,01166666666667;NA;105,457151806253;NA;201,75;NA;205,75;NA;206;NA
