"";"CD_PROGRAMA_IES";"ID_PROJETO";"DFPP";"QMP";"DFCP"
"134";"11001011006P0";424449;4;4;1
"135";"11001011006P0";424458;4;4;1
"136";"11001011006P0";424466;2;2;1
"137";"11001011006P0";424470;2;2;1
"138";"11001011006P0";424473;2;2;1
"139";"11001011007P6";249414;1;2;0,5
"140";"11001011008P2";331755;1;1;1
"141";"11001011008P2";331774;2;4;0,5
"142";"11001011008P2";332350;1;1;1
"143";"11001011008P2";332351;2;3;0,666666666666667
"144";"11001011009P9";280903;1;1;1
"145";"11001011009P9";280906;1;1;1
"146";"11001011009P9";280915;1;1;1
"147";"11001011009P9";280922;1;1;1
"148";"11001011009P9";280924;1;2;0,5
"149";"11001011009P9";280931;1;1;1
"150";"11001011009P9";280937;1;1;1
"151";"11001011009P9";280939;1;1;1
"152";"11001011009P9";280941;1;1;1
"153";"11001011009P9";280946;1;1;1
"154";"11001011009P9";280952;1;1;1
"155";"11001011009P9";280955;1;1;1
"156";"11001011009P9";280971;1;2;0,5
"157";"11001011009P9";280987;1;1;1
"158";"11001011009P9";281387;1;1;1
"159";"11001011009P9";281456;1;2;0,5
"160";"11001011009P9";281475;1;2;0,5
"161";"11001011070P0";384915;1;1;1
"162";"11001011070P0";421344;1;1;1
"163";"11001011070P0";421354;1;1;1
"164";"11001011070P0";421355;1;1;1
"165";"11001011070P0";421370;1;1;1
"166";"11001011070P0";421417;1;1;1
"167";"11001011070P0";422637;1;1;1
"168";"11001011070P0";422776;1;1;1
"169";"11001011070P0";423480;1;1;1
"170";"11001011070P0";423481;1;1;1
"171";"11001011070P0";423484;1;1;1
"172";"11001011070P0";423485;1;1;1
"173";"11001011070P0";423494;1;1;1
"174";"11001011070P0";423758;1;1;1
"175";"11001011070P0";423785;2;2;1
"176";"11001011070P0";423820;3;4;0,75
"177";"11001011070P0";423855;1;1;1
"178";"12001015001P0";247921;2;2;1
"179";"12001015001P0";327949;2;3;0,666666666666667
"180";"12001015001P0";350390;1;1;1
"181";"12001015001P0";362704;1;1;1
"182";"12001015001P0";375604;1;1;1
"183";"12001015001P0";375606;1;1;1
"184";"12001015001P0";375619;1;1;1
"185";"12001015001P0";379439;1;1;1
"186";"12001015001P0";381452;2;2;1
"187";"12001015001P0";383968;1;1;1
"188";"12001015001P0";383986;1;1;1
"189";"12001015001P0";384079;3;3;1
"190";"12001015001P0";384080;1;1;1
"191";"12001015001P0";384095;2;2;1
"192";"12001015001P0";384096;2;2;1
"193";"12001015001P0";384097;1;1;1
"194";"12001015001P0";385666;2;3;0,666666666666667
"195";"12001015001P0";398505;2;3;0,666666666666667
"196";"12001015001P0";398522;1;1;1
"197";"12001015001P0";398666;1;1;1
"198";"12001015001P0";398681;1;1;1
"199";"12001015001P0";398684;1;1;1
"200";"12001015001P0";398710;1;1;1
"201";"12001015001P0";398763;1;1;1
"202";"12001015001P0";398773;2;2;1
"203";"12001015001P0";398775;1;1;1
"204";"12001015001P0";399260;1;1;1
"205";"12001015001P0";399263;1;1;1
"206";"12001015001P0";399273;2;2;1
"207";"12001015001P0";399279;1;1;1
"208";"12001015001P0";423380;1;1;1
"209";"12001015001P0";77840;1;1;1
"210";"12001015002P7";271182;1;3;0,333333333333333
"211";"12001015002P7";271198;1;1;1
"212";"12001015002P7";271203;1;2;0,5
"213";"12001015002P7";271215;1;2;0,5
"214";"12001015002P7";271222;1;1;1
"215";"12001015002P7";271224;1;1;1
"216";"12001015002P7";330068;1;2;0,5
"217";"12001015002P7";330120;1;1;1
"218";"12001015002P7";330143;1;2;0,5
"219";"12001015002P7";331003;1;5;0,2
"220";"12001015002P7";378707;1;2;0,5
"221";"12001015002P7";378711;1;1;1
"222";"12001015002P7";378728;1;1;1
"223";"12001015002P7";378739;1;3;0,333333333333333
"224";"12001015002P7";381811;1;1;1
"225";"12001015002P7";381824;1;1;1
"226";"12001015003P3";245976;1;1;1
"227";"12001015003P3";257380;1;2;0,5
"228";"12001015003P3";257410;2;3;0,666666666666667
"229";"12001015003P3";257419;1;2;0,5
"230";"12001015003P3";257706;1;1;1
"231";"12001015003P3";313777;1;1;1
"232";"12001015003P3";313810;1;2;0,5
"233";"12001015003P3";377976;1;1;1
"234";"12001015003P3";377999;1;1;1
"235";"12001015003P3";419618;1;2;0,5
"236";"12001015003P3";419622;1;1;1
"237";"12001015003P3";419631;1;1;1
"238";"12001015003P3";419633;1;1;1
"239";"12001015003P3";419635;1;2;0,5
"240";"12001015003P3";419637;1;1;1
"241";"12001015003P3";77952;2;2;1
"242";"12001015006P2";259435;2;2;1
"243";"12001015006P2";259451;2;3;0,666666666666667
"244";"12001015006P2";315798;1;1;1
"245";"12001015006P2";315914;1;1;1
"246";"12001015006P2";315931;2;4;0,5
"247";"12001015006P2";316421;1;1;1
"248";"12001015006P2";317984;2;2;1
"249";"12001015006P2";317987;1;1;1
"250";"12001015006P2";320756;1;2;0,5
"251";"12001015006P2";380141;3;3;1
"252";"12001015006P2";407477;1;1;1
"253";"12001015006P2";409554;1;2;0,5
"254";"12001015007P9";259824;2;2;1
"255";"12001015007P9";356006;2;3;0,666666666666667
"256";"12001015007P9";356015;6;8;0,75
"257";"12001015007P9";417583;7;9;0,777777777777778
"258";"12001015007P9";419747;2;2;1
"259";"12001015008P5";339197;1;1;1
"260";"12001015008P5";373620;2;3;0,666666666666667
"261";"12001015008P5";414283;1;1;1
"262";"12001015008P5";414692;1;1;1
"263";"12001015009P1";287153;3;4;0,75
"264";"12001015009P1";287157;3;4;0,75
"265";"12001015009P1";329829;5;6;0,833333333333333
"266";"12001015009P1";350715;3;3;1
"267";"12001015012P2";291264;1;1;1
"268";"12001015012P2";291337;2;2;1
"269";"12001015012P2";329439;1;1;1
"270";"12001015012P2";329512;1;1;1
"271";"12001015012P2";329553;1;1;1
"272";"12001015012P2";329588;1;1;1
"273";"12001015012P2";329617;1;2;0,5
"274";"12001015012P2";329628;2;2;1
"275";"12001015012P2";329656;1;2;0,5
"276";"12001015012P2";329685;1;1;1
"277";"12001015012P2";329694;2;2;1
"278";"12001015012P2";361132;1;1;1
"279";"12001015013P9";291756;2;2;1
"280";"12001015013P9";330145;2;2;1
"281";"12001015013P9";330149;1;2;0,5
"282";"12001015013P9";330170;1;2;0,5
"283";"12001015013P9";332434;1;1;1
"284";"12001015013P9";332442;1;1;1
"285";"12001015013P9";332451;1;1;1
"286";"12001015013P9";332471;1;1;1
"287";"12001015013P9";332472;1;1;1
"288";"12001015013P9";332477;1;1;1
"289";"12001015013P9";332626;1;1;1
"290";"12001015013P9";332678;1;1;1
"291";"12001015013P9";332809;1;1;1
"292";"12001015013P9";332872;1;1;1
"293";"12001015013P9";333319;1;1;1
"294";"12001015013P9";333320;1;1;1
"295";"12001015013P9";384370;1;1;1
"296";"12001015013P9";384412;1;1;1
"297";"12001015013P9";411021;1;1;1
"298";"12001015013P9";411944;1;1;1
"299";"12001015013P9";411998;1;1;1
"300";"12001015013P9";412010;1;1;1
"301";"12001015013P9";412449;1;1;1
"302";"12001015013P9";412495;1;1;1
"303";"12001015013P9";412818;1;1;1
"304";"12001015013P9";412851;1;1;1
"305";"12001015013P9";415597;1;1;1
"306";"12001015013P9";415703;1;1;1
"307";"12001015013P9";415705;1;1;1
"308";"12001015013P9";416017;1;2;0,5
"309";"12001015014P5";239162;2;2;1
"310";"12001015014P5";239166;2;2;1
"311";"12001015014P5";239168;2;2;1
"312";"12001015014P5";241250;1;1;1
"313";"12001015014P5";241255;1;1;1
"314";"12001015014P5";253192;2;2;1
"315";"12001015014P5";260208;1;1;1
"316";"12001015014P5";260238;1;1;1
"317";"12001015014P5";260602;1;1;1
"318";"12001015014P5";261077;2;2;1
"319";"12001015014P5";261110;1;1;1
"320";"12001015014P5";261114;1;1;1
"321";"12001015014P5";261127;1;2;0,5
"322";"12001015014P5";261132;1;1;1
"323";"12001015014P5";261425;1;1;1
"324";"12001015014P5";261445;1;1;1
"325";"12001015014P5";261460;1;1;1
"326";"12001015014P5";261462;1;1;1
"327";"12001015014P5";261648;1;1;1
"328";"12001015014P5";261652;1;1;1
"329";"12001015014P5";261657;1;1;1
"330";"12001015014P5";261665;1;1;1
"331";"12001015014P5";261674;1;1;1
"332";"12001015014P5";261677;1;2;0,5
"333";"12001015014P5";262433;1;1;1
"334";"12001015014P5";262438;1;1;1
"335";"12001015014P5";262447;1;1;1
"336";"12001015014P5";262454;1;1;1
"337";"12001015014P5";262458;1;1;1
"338";"12001015014P5";262461;1;1;1
"339";"12001015014P5";262515;1;1;1
"340";"12001015014P5";263047;2;2;1
"341";"12001015014P5";266344;1;1;1
"342";"12001015014P5";266479;2;2;1
"343";"12001015014P5";285133;2;2;1
"344";"12001015014P5";285968;2;2;1
"345";"12001015014P5";285974;1;1;1
"346";"12001015014P5";285976;1;1;1
"347";"12001015014P5";286010;1;1;1
"348";"12001015014P5";299074;2;2;1
"349";"12001015014P5";340148;2;2;1
"350";"12001015014P5";340149;1;1;1
"351";"12001015014P5";340254;1;1;1
"352";"12001015014P5";340255;1;1;1
"353";"12001015014P5";340259;2;2;1
"354";"12001015014P5";340261;1;1;1
"355";"12001015014P5";340265;1;1;1
"356";"12001015014P5";340270;2;2;1
"357";"12001015014P5";340278;1;1;1
"358";"12001015014P5";340279;1;1;1
"359";"12001015014P5";340282;1;1;1
"360";"12001015014P5";340283;1;1;1
"361";"12001015014P5";340284;1;1;1
"362";"12001015014P5";340287;1;1;1
"363";"12001015014P5";340294;1;1;1
"364";"12001015014P5";340299;1;1;1
"365";"12001015014P5";340302;1;1;1
"366";"12001015014P5";340303;1;1;1
"367";"12001015014P5";340304;1;1;1
"368";"12001015014P5";340309;1;1;1
"369";"12001015014P5";340324;2;2;1
"370";"12001015014P5";340325;2;2;1
"371";"12001015014P5";340326;2;2;1
"372";"12001015014P5";340328;2;2;1
"373";"12001015014P5";340338;2;2;1
"374";"12001015014P5";340339;1;1;1
"375";"12001015014P5";340342;1;2;0,5
"376";"12001015014P5";340343;2;2;1
"377";"12001015014P5";340345;1;1;1
"378";"12001015014P5";340346;2;2;1
"379";"12001015014P5";340347;1;1;1
"380";"12001015014P5";340348;1;1;1
"381";"12001015014P5";340349;1;1;1
"382";"12001015014P5";340350;1;1;1
"383";"12001015014P5";340351;2;2;1
"384";"12001015014P5";340352;1;1;1
"385";"12001015014P5";340371;1;1;1
"386";"12001015014P5";340374;1;1;1
"387";"12001015014P5";340382;2;2;1
"388";"12001015014P5";340383;1;1;1
"389";"12001015014P5";340385;1;1;1
"390";"12001015014P5";340387;1;1;1
"391";"12001015014P5";340391;1;1;1
"392";"12001015014P5";340410;1;1;1
"393";"12001015014P5";340412;2;2;1
"394";"12001015014P5";340413;1;1;1
"395";"12001015014P5";340415;1;1;1
"396";"12001015014P5";351192;2;2;1
"397";"12001015014P5";360467;1;1;1
"398";"12001015014P5";361184;1;1;1
"399";"12001015014P5";363799;1;2;0,5
"400";"12001015014P5";363814;1;1;1
"401";"12001015014P5";363821;1;1;1
"402";"12001015014P5";363835;1;1;1
"403";"12001015014P5";364302;2;2;1
"404";"12001015014P5";364304;2;2;1
"405";"12001015014P5";364320;1;1;1
"406";"12001015014P5";364338;1;1;1
"407";"12001015014P5";364372;2;2;1
"408";"12001015014P5";364840;1;1;1
"409";"12001015014P5";366777;2;2;1
"410";"12001015014P5";377315;1;1;1
"411";"12001015014P5";378596;1;1;1
"412";"12001015014P5";378601;2;2;1
"413";"12001015014P5";378629;1;1;1
"414";"12001015014P5";381668;1;2;0,5
"415";"12001015014P5";381671;1;1;1
"416";"12001015014P5";381692;2;2;1
"417";"12001015014P5";381716;2;2;1
"418";"12001015014P5";381723;1;1;1
"419";"12001015014P5";381758;1;1;1
"420";"12001015014P5";381764;1;2;0,5
"421";"12001015014P5";381776;1;1;1
"422";"12001015014P5";384181;1;1;1
"423";"12001015015P1";366776;2;3;0,666666666666667
"424";"12001015015P1";366807;2;5;0,4
"425";"12001015015P1";366861;1;1;1
"426";"12001015015P1";368517;1;1;1
"427";"12001015015P1";368518;1;1;1
"428";"12001015015P1";369175;1;1;1
"429";"12001015015P1";369346;1;1;1
"430";"12001015015P1";369554;1;1;1
"431";"12001015015P1";371472;1;1;1
"432";"12001015015P1";371473;1;1;1
"433";"12001015015P1";398279;1;1;1
"434";"12001015015P1";403887;1;1;1
"435";"12001015015P1";405913;1;1;1
"436";"12001015015P1";406365;2;2;1
"437";"12001015016P8";246262;1;2;0,5
"438";"12001015016P8";246782;2;3;0,666666666666667
"439";"12001015016P8";250238;2;3;0,666666666666667
"440";"12001015016P8";363355;2;2;1
"441";"12001015018P0";316540;1;1;1
"442";"12001015021P1";296612;1;3;0,333333333333333
"443";"12001015021P1";299716;1;1;1
"444";"12001015021P1";331471;1;3;0,333333333333333
"445";"12001015021P1";333191;1;2;0,5
"446";"12001015021P1";333194;1;1;1
"447";"12001015021P1";362912;1;3;0,333333333333333
"448";"12001015021P1";395827;1;2;0,5
"449";"12001015021P1";395841;1;1;1
"450";"12001015021P1";400503;1;3;0,333333333333333
"451";"12001015022P8";254071;2;3;0,666666666666667
"452";"12001015023P4";264369;1;1;1
"453";"12001015023P4";264379;1;1;1
"454";"12001015023P4";264392;1;1;1
"455";"12001015023P4";264400;1;1;1
"456";"12001015023P4";345619;4;5;0,8
"457";"12001015024P0";298518;1;1;1
"458";"12001015024P0";299066;1;1;1
"459";"12001015024P0";337815;2;2;1
"460";"12001015024P0";377050;1;1;1
"461";"12001015024P0";377076;2;2;1
"462";"12001015024P0";377454;1;1;1
"463";"12001015024P0";377462;2;3;0,666666666666667
"464";"12001015024P0";377485;1;1;1
"465";"12001015024P0";382971;1;1;1
"466";"12001015024P0";382982;1;1;1
"467";"12001015024P0";382983;1;1;1
"468";"12001015024P0";382985;1;1;1
"469";"12001015024P0";382986;1;1;1
"470";"12001015024P0";382987;1;1;1
"471";"12001015024P0";383018;1;1;1
"472";"12001015024P0";383028;1;1;1
"473";"12001015024P0";383030;1;1;1
"474";"12001015024P0";383033;1;1;1
"475";"12001015024P0";383035;1;1;1
"476";"12001015024P0";383039;1;1;1
"477";"12001015024P0";383042;1;1;1
"478";"12001015024P0";383234;1;1;1
"479";"12001015024P0";383258;1;1;1
"480";"12001015024P0";399297;1;1;1
"481";"12001015025P7";260295;1;1;1
"482";"12001015025P7";264175;1;1;1
"483";"12001015025P7";266370;1;1;1
"484";"12001015025P7";268368;1;1;1
"485";"12001015025P7";313783;1;1;1
"486";"12001015025P7";313815;1;3;0,333333333333333
"487";"12001015025P7";313845;2;4;0,5
"488";"12001015025P7";313899;1;3;0,333333333333333
"489";"12001015025P7";315106;1;1;1
"490";"12001015025P7";320653;2;2;1
"491";"12001015025P7";320671;2;2;1
"492";"12001015025P7";359919;1;1;1
"493";"12001015025P7";359926;1;1;1
"494";"12001015025P7";359937;2;4;0,5
"495";"12001015025P7";359939;1;1;1
"496";"12001015025P7";360009;1;1;1
"497";"12001015025P7";399707;1;1;1
"498";"12001015026P3";262836;1;1;1
"499";"12001015026P3";280262;1;1;1
"500";"12001015026P3";316662;1;1;1
"501";"12001015026P3";316672;1;1;1
"502";"12001015026P3";316681;1;1;1
"503";"12001015026P3";317403;1;1;1
"504";"12001015026P3";317404;1;1;1
"505";"12001015026P3";378170;1;1;1
"506";"12001015026P3";378203;1;1;1
"507";"12001015026P3";396788;1;1;1
"508";"12001015026P3";396789;1;1;1
"509";"12001015026P3";396792;1;1;1
"510";"12001015026P3";396793;1;1;1
"511";"12001015026P3";397531;1;1;1
"512";"12001015026P3";397686;1;1;1
"513";"12001015026P3";397687;1;1;1
"514";"12001015026P3";397696;1;1;1
"515";"12001015026P3";402513;1;1;1
"516";"12001015026P3";78673;1;1;1
"517";"12001015027P0";285068;1;1;1
"518";"12001015027P0";318898;1;1;1
"519";"12001015027P0";320240;1;2;0,5
"520";"12001015027P0";320348;1;2;0,5
"521";"12001015027P0";350285;1;1;1
"522";"12001015027P0";350291;1;2;0,5
"523";"12001015027P0";350310;1;2;0,5
"524";"12001015027P0";351548;1;2;0,5
"525";"12001015027P0";373815;1;1;1
"526";"12001015027P0";374097;1;1;1
"527";"12001015027P0";374118;1;2;0,5
"528";"12001015027P0";374172;1;2;0,5
"529";"12001015027P0";374614;1;2;0,5
"530";"12001015027P0";375191;1;1;1
"531";"12001015027P0";376369;1;1;1
"532";"12001015027P0";390408;2;3;0,666666666666667
"533";"12001015027P0";390969;1;1;1
"534";"12001015027P0";390970;1;1;1
"535";"12001015027P0";390973;1;2;0,5
"536";"12001015027P0";390981;1;1;1
"537";"12001015027P0";398987;1;1;1
"538";"12001015027P0";407432;1;1;1
"539";"12001015027P0";414038;1;1;1
"540";"12001015027P0";414046;1;1;1
"541";"12001015029P2";276067;1;1;1
"542";"12001015029P2";286571;2;2;1
"543";"12001015029P2";286719;1;1;1
"544";"12001015029P2";358671;2;2;1
"545";"12001015029P2";421979;1;1;1
"546";"12001015029P2";421992;1;1;1
"547";"12001015032P3";327474;1;1;1
"548";"12001015032P3";327687;2;2;1
"549";"12001015032P3";329511;2;2;1
"550";"12001015032P3";374315;2;2;1
"551";"12001015032P3";409629;1;1;1
"552";"12001015032P3";409636;1;2;0,5
"553";"12001015032P3";409650;1;2;0,5
"554";"12001015032P3";411395;2;2;1
"555";"12001015032P3";411558;1;1;1
"556";"12001015032P3";413878;2;2;1
"557";"12001015032P3";413922;1;1;1
"558";"12001015032P3";413928;1;1;1
"559";"12001015032P3";413932;1;1;1
"560";"12001015032P3";413935;1;1;1
"561";"12001015032P3";413961;1;1;1
"562";"12001015032P3";413964;1;1;1
"563";"12001015032P3";413988;1;1;1
"564";"12001015032P3";414053;1;1;1
"565";"12001015032P3";414103;2;2;1
"566";"12001015033P0";299546;1;1;1
"567";"12001015033P0";299557;1;3;0,333333333333333
"568";"12001015033P0";299579;3;3;1
"569";"12001015033P0";299909;3;3;1
"570";"12001015034P6";278695;1;1;1
"571";"12001015034P6";334802;1;1;1
"572";"12001015034P6";334808;2;2;1
"573";"12001015034P6";334829;1;3;0,333333333333333
"574";"12001015034P6";334835;2;2;1
"575";"12001015034P6";334843;1;1;1
"576";"12001015034P6";335588;1;3;0,333333333333333
"577";"12001015034P6";423911;1;1;1
"578";"12001015034P6";423941;1;1;1
"579";"12001015035P2";277426;1;2;0,5
"580";"12001015035P2";277639;1;1;1
"581";"12001015035P2";324531;1;2;0,5
"582";"12001015035P2";324533;1;1;1
"583";"12001015035P2";373567;1;1;1
"584";"12001015035P2";373587;3;3;1
"585";"12001015035P2";373612;2;3;0,666666666666667
"586";"12001015035P2";373615;2;2;1
"587";"12001015035P2";373618;1;1;1
"588";"12001015035P2";373630;2;3;0,666666666666667
"589";"12001015035P2";373635;1;1;1
"590";"12001015036P9";239436;1;1;1
"591";"12001015036P9";285899;1;1;1
"592";"12001015036P9";285904;1;1;1
"593";"12001015036P9";376239;1;1;1
"594";"12001015036P9";382820;1;1;1
"595";"12001015036P9";410499;3;4;0,75
"596";"12001015036P9";410535;1;2;0,5
"597";"12001015036P9";78967;1;1;1
"598";"12001015036P9";78983;4;4;1
"599";"12001015037P5";334063;1;1;1
"600";"12001015038P1";286881;1;1;1
"601";"12001015038P1";286934;1;1;1
"602";"12001015038P1";286941;1;1;1
"603";"12001015038P1";286949;1;1;1
"604";"12001015038P1";287002;1;1;1
"605";"12001015038P1";287005;1;1;1
"606";"12001015038P1";287009;1;1;1
"607";"12001015038P1";287023;1;1;1
"608";"12001015038P1";287025;1;1;1
"609";"12001015038P1";287029;1;1;1
"610";"12001015038P1";287042;1;1;1
"611";"12001015038P1";287053;1;1;1
"612";"12001015038P1";287067;1;1;1
"613";"12001015038P1";287070;1;1;1
"614";"12001015038P1";287073;1;1;1
"615";"12001015038P1";287074;1;1;1
"616";"12001015038P1";287077;1;1;1
"617";"12001015038P1";287087;1;1;1
"618";"12001015038P1";287097;1;1;1
"619";"12001015038P1";287098;1;1;1
"620";"12001015038P1";287115;1;1;1
"621";"12001015038P1";287118;1;1;1
"622";"12001015038P1";287120;1;1;1
"623";"12001015038P1";287131;1;1;1
"624";"12001015038P1";287359;1;1;1
"625";"12001015038P1";287379;1;1;1
"626";"12001015038P1";287383;1;1;1
"627";"12001015038P1";287402;1;1;1
"628";"12001015038P1";287403;1;1;1
"629";"12001015038P1";287406;1;1;1
"630";"12001015038P1";287534;1;1;1
"631";"12001015038P1";287554;1;1;1
"632";"12001015038P1";287617;1;1;1
"633";"12001015038P1";287640;1;1;1
"634";"12001015038P1";287646;1;1;1
"635";"12001015038P1";287650;1;1;1
"636";"12001015038P1";287652;1;1;1
"637";"12001015038P1";287696;1;1;1
"638";"12001015038P1";287701;1;1;1
"639";"12001015038P1";287714;1;1;1
"640";"12001015038P1";287728;1;1;1
"641";"12001015038P1";287759;1;1;1
"642";"12001015038P1";287777;1;1;1
"643";"12001015038P1";287800;1;1;1
"644";"12001015038P1";287860;1;1;1
"645";"12001015038P1";287888;1;1;1
"646";"12001015038P1";287900;1;1;1
"647";"12001015038P1";287964;1;1;1
"648";"12001015038P1";287965;1;1;1
"649";"12001015038P1";287969;1;1;1
"650";"12001015038P1";289511;2;3;0,666666666666667
"651";"12001015038P1";289573;1;2;0,5
"652";"12001015038P1";289594;1;1;1
"653";"12001015038P1";289885;1;1;1
"654";"12001015038P1";289902;1;1;1
"655";"12001015038P1";289922;1;1;1
"656";"12001015038P1";289943;1;1;1
"657";"12001015038P1";289987;1;1;1
"658";"12001015038P1";290298;1;1;1
"659";"12001015038P1";290808;1;1;1
"660";"12001015038P1";290809;1;1;1
"661";"12001015038P1";290827;1;1;1
"662";"12001015038P1";290831;1;1;1
"663";"12001015038P1";290916;1;1;1
"664";"12001015038P1";290918;1;1;1
"665";"12001015038P1";290927;1;1;1
"666";"12001015038P1";292890;2;2;1
"667";"12001015038P1";292985;1;1;1
"668";"12001015038P1";293055;1;1;1
"669";"12001015038P1";293186;1;2;0,5
"670";"12001015038P1";293209;1;2;0,5
"671";"12001015038P1";293249;1;1;1
"672";"12001015038P1";293343;1;1;1
"673";"12001015038P1";293374;1;2;0,5
"674";"12001015038P1";293389;1;1;1
"675";"12001015038P1";293406;1;1;1
