"";"CODIGO";"NOME";"ANOMES";"BN";"QUANTIDADE";"VALOR";"REVISAO"
"1";779689;"HBA - HOSPITAL DA BAHIA";"201601";3690;449589;7989859,94;226604,95
"2";779689;"HBA - HOSPITAL DA BAHIA";"201602";2826;528979;7585823,88;138268,05
"3";779689;"HBA - HOSPITAL DA BAHIA";"201603";4260;677753;9601412,33;82269,61
"4";779689;"HBA - HOSPITAL DA BAHIA";"201604";3924;525166;8430592,14;91160,63
"5";779689;"HBA - HOSPITAL DA BAHIA";"201605";4666;659769;9976830,16;0
"6";779689;"HBA - HOSPITAL DA BAHIA";"201606";5323;631182;9786800,75;40545,6
"7";779689;"HBA - HOSPITAL DA BAHIA";"201607";5143;642143;10551390,55;38404,22
"8";779689;"HBA - HOSPITAL DA BAHIA";"201608";5069;579750;10213672,11;182725,47
"9";779689;"HBA - HOSPITAL DA BAHIA";"201609";4291;546242;8812064,56;192403,5
"10";779689;"HBA - HOSPITAL DA BAHIA";"201610";5246;594702;9419681,29;19848,69
"11";779689;"HBA - HOSPITAL DA BAHIA";"201611";3689;479688;7985269,23;203257,55
"12";779689;"HBA - HOSPITAL DA BAHIA";"201612";5006;464052;8740181,79;96608,07
"13";779689;"HBA - HOSPITAL DA BAHIA";"201701";3851;463428;8149460,84;1363715,78
"14";779689;"HBA - HOSPITAL DA BAHIA";"201702";4397;482895;9108348,38;197867,55
"15";779689;"HBA - HOSPITAL DA BAHIA";"201703";5433;596360;10518345,26;151964,13
"16";779689;"HBA - HOSPITAL DA BAHIA";"201704";3744;325225;7107493,74;527332,17
"17";779689;"HBA - HOSPITAL DA BAHIA";"201705";4921;557184;10250443,28;28497,11
"18";779689;"HBA - HOSPITAL DA BAHIA";"201706";4517;516112;9558557,82;-567,45
"19";779689;"HBA - HOSPITAL DA BAHIA";"201707";5344;455812;8841728,35;132271,95
"20";779689;"HBA - HOSPITAL DA BAHIA";"201708";5505;555950;9630224,96;36796,25
