"";"CODIGO";"NOME";"ANOMES";"BN";"QUANTIDADE";"VALOR";"REVISAO"
"1";594480;"HOSPITAL SANTA IZABEL";"201601";11252;2223664;12066690,47;260054,22
"2";594480;"HOSPITAL SANTA IZABEL";"201602";3049;704054;3954570,84;52563,44
"3";594480;"HOSPITAL SANTA IZABEL";"201603";8451;729524;6411048,65;193387,47
"4";594480;"HOSPITAL SANTA IZABEL";"201604";15511;1848390;10895642,28;50289,83
"5";594480;"HOSPITAL SANTA IZABEL";"201605";14619;1686204;11277299,28;19808,24
"6";594480;"HOSPITAL SANTA IZABEL";"201606";10097;1152725;9770379,95;192461,78
"7";594480;"HOSPITAL SANTA IZABEL";"201607";11248;1645820;13146606,3;86843,36
"8";594480;"HOSPITAL SANTA IZABEL";"201608";14431;1499836;13375117,92;40127,41
"9";594480;"HOSPITAL SANTA IZABEL";"201609";12420;1196356;10382240,72;111318,09
"10";594480;"HOSPITAL SANTA IZABEL";"201610";12387;1562307;11495756,06;103206,85
"11";594480;"HOSPITAL SANTA IZABEL";"201611";12707;2158943;12728894,21;78814,51
"12";594480;"HOSPITAL SANTA IZABEL";"201612";12897;1528562;11629799,48;2876,37
"13";594480;"HOSPITAL SANTA IZABEL";"201701";11282;1999075;13924316,71;3150371,94
"14";594480;"HOSPITAL SANTA IZABEL";"201702";10832;1301905;9746112,72;235278,08
"15";594480;"HOSPITAL SANTA IZABEL";"201703";13345;2052521;13446844,73;117058,57
"16";594480;"HOSPITAL SANTA IZABEL";"201704";10907;1461799;10498472,59;760815,31
"17";594480;"HOSPITAL SANTA IZABEL";"201705";14261;2546747;15354614,43;195242,65
"18";594480;"HOSPITAL SANTA IZABEL";"201706";12578;1701781;12338473,92;147864,31
"19";594480;"HOSPITAL SANTA IZABEL";"201707";9567;2567543;13447082,12;214493,84
"20";594480;"HOSPITAL SANTA IZABEL";"201708";8567;2243812;12658143,27;210825,46
