"";"ANOMES";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"VALOR_COTA";"VALOR_APROVADO";"VAL_PAGO"
"1";"201601";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;1646601;1638141,11
"2";"201602";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;1635298,22;1633961,78
"3";"201603";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2171864,2;2168928,08
"4";"201604";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2426362,64;2415643,45
"5";"201605";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2190296,05;2187952,15
"6";"201606";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2228480,33;2226126,56
"7";"201607";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2235962,44;2235777,04
"8";"201608";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2271272,42;2271272,42
"9";"201609";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2060380,85;2057197,61
"10";"201610";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2082999,51;2082050,48
"11";"201611";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2033178,87;2033178,87
"12";"201612";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2076224,46;2073199,71
"13";"201701";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;2078943,81;2077825,14
"14";"201702";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2182704,96;1832962,34;1832173,55
"15";"201703";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2087572,72;2257102,57;2252616,16
"16";"201704";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2087572,72;1939260,27;1935424,8
"17";"201705";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2410392;2894619,05;2652505,15
"18";"201706";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2087572,72;2671688,69;2260396,49
"19";"201707";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2300000;2339871,44;2295928,99
"20";"201708";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";2300000;2869787,18;2297713,7
