"";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"COD_ESPECIALIDADE";"NOME_ESPECIALIDADE";"DATA_INI_HAB";"COD_EDITAL"
"1";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"1910";"ALERGOLOGIA";2011-08-19 00:00:00;"010/09.1"
"2";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"2120";"ANATOMIA PATOLOGICA";2010-06-01 00:00:00;"010/09.1"
"3";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"1600";"ANESTESIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"4";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"3900";"ANGIOLOGIA/CIR.VASCULAR PERIFERICA";2000-11-01 01:00:00;"010/09.1"
"5";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"2010";"CARDIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"6";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"4100";"CIRURGIA CABECA E PESCOCO";2010-06-01 00:00:00;"010/09.1"
"7";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"4000";"CIRURGIA CARDIOVASCULAR";2008-06-12 00:00:00;"010/09.1"
"8";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"4300";"CIRURGIA GASTROENTEROLOGICA";2008-06-12 00:00:00;"010/09.1"
"9";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"4301";"CIRURGIA GERAL";2000-11-01 01:00:00;"010/09.1"
"10";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"5400";"CIRURGIA PLASTICA REPARADORA";2000-11-01 01:00:00;"010/09.1"
"11";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"5500";"CIRURGIA TORACICA";2010-06-01 00:00:00;"010/09.1"
"12";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"3901";"CIRURGIA VASCULAR";2008-06-12 00:00:00;"010/09.1"
"13";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"2121";"CITOPATOLOGIA";2010-06-01 00:00:00;"010/09.1"
"14";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"0000";"CONSULTAS";2010-06-01 00:00:00;"010/09.1"
"15";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"4200";"DERMATOLOGIA CLIN / CIR";2002-03-01 00:00:00;"010/09.1"
"16";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"2320";"ENDOSCOPIA DIGESTIVA";2000-11-01 01:00:00;"010/09.1"
"17";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"2510";"FISIATRIA  (  FISIOTERAPIA )";2008-06-12 00:00:00;"010/09.1"
"18";15140254000182;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"4501";"GINECOLOGIA";2000-11-01 01:00:00;"010/09.1"
