"";"CODIGO";"NOME";"ESPECIALIDADE";"ITEM";"GRUPO";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ESP";"MAIORES_ITS"
"1";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Gastroplastia Para  Obesidade Mórbida Por Videolaparoscopia  Hm De Anestesiologia Exluso";"Pacote Misto";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;33916,32;13;12;0;203497,92;17;17;0;288288,72;12;11;16958,16;186539,76;11;11;0;184308,82;55;53;16958,16;896551,54;"X";"X"
"2";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Colecistectomia Sem Colangiografia Por Videolaparoscopia  - Hospital";"Pacote Misto";3;3;0;7212,21;29;28;0;67313,96;57;57;0;137031,99;32;31;0;74022,17;38;38;0;91102,66;45;44;0;105779,08;40;40;0;95985,26;55;55;0;132223,85;40;40;0;96162,8;53;53;0;127415,71;43;43;0;103375,01;38;34;0;81738,38;31;27;9616,28;69160,29;39;39;0;101834,49;33;31;0;81114,29;41;41;0;107280,19;57;57;0;149145,63;29;29;0;75881,11;26;26;0;68031,34;23;23;0;59562,22;279;273;9616,28;712009,56;"X";"X"
"3";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Colecistectomia Sem Colangiografia Por Videolaparoscopia - Hm Cirurgia";"Pacote Misto";3;3;0;3112,56;25;24;0;24900,48;50;50;0;51876;29;28;0;29050,56;37;37;0;38388,24;41;40;0;41500,8;35;35;0;36313,2;51;51;0;52913,52;39;39;0;40463,28;53;53;0;54988,56;40;40;0;41500,8;34;30;0;31125,6;30;26;4150,08;26975,52;36;36;0;37350,72;31;29;0;30088,08;37;37;0;38388,24;52;52;0;53951,04;29;29;0;30088,08;22;22;0;22825,44;19;19;0;19712,88;256;250;4150,08;259380;"X";"X"
"4";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"ZOLAPIN - 25 mg. 3 bl. x 10 cprs.";"Medicamento Comum";19;49;0;4940;23;155;0;13520;67;260;0;25851,8;81;280;0;27690;57;220;0;21255;76;314;0;29380;76;237;650;21775;65;282;0;28145;54;226;65;22880;80;304;0;31720;59;190;0;19240;62;173;0;16705;67;280;455;29380;59;172;0;15925;57;156;0;13585;59;182;1365;18070;69;328;0;35425;60;196;0;21125;49;151;130;13650;45;126;65;12805;465;1591;2015;159965;"X";"X"
"5";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Apendicectomia Por Videolaparoscopia - Hospital";"Pacote Misto";NA;NA;NA;NA;2;2;0;6348,26;8;8;0;25393,04;10;8;0;24391,66;6;6;0;19044,78;11;11;0;33914,05;11;11;0;34915,43;8;8;0;24391,66;6;6;0;19044,78;5;5;0;15870,65;9;9;0;28567,17;7;6;0;19044,78;7;6;3174,13;18604,58;8;8;0;27637,76;10;10;0;33545,82;4;4;0;13818,88;6;6;0;20728,32;5;5;0;16272,22;2;2;0;6909,44;5;5;0;16272,22;47;46;3174,13;153789,24;"X";"X"
"6";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Gastrectomia Parcial Por Videolaparoscopia - Hospital";"Pacote Misto";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0;15709,09;1;1;0;15709,09;1;1;0;15709,09;1;0;13008,53;0;1;1;0;13008,53;5;5;0;78545,45;1;1;0;15709,09;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;15709,09;1;1;0;15709,09;1;1;0;15709,09;3;3;0;44426,71;NA;NA;NA;NA;1;0;0;0;2;2;0;31418,18;3;2;15709,09;26017,06;12;10;15709,09;148989,22;"X";"X"
"7";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Trisegmentectomia - Hospital";"Pacote Misto";NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;12460,01;1;1;0;12460,01;NA;NA;NA;NA;2;1;0;12460,01;1;1;0;12460,01;2;1;12460,01;12460,01;1;1;0;12460,01;2;2;0;24920,02;NA;NA;NA;NA;NA;NA;NA;NA;3;3;0;37380,03;NA;NA;NA;NA;1;1;0;12460,01;NA;NA;NA;NA;1;1;0;12460,01;NA;NA;NA;NA;3;3;0;37380,03;2;2;0;24920,02;10;10;0;124600,1;"X";"X"
"8";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Gastrectomia Total Por Videolaparoscopia - Hospital";"Pacote Misto";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;29203,14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;0;43804,71;NA;NA;NA;NA;1;1;0;14601,57;6;6;0;87609,42;"X";"X"
"9";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Colectomia Parcial Por Videolaparoscopia - Hospital";"Pacote Misto";1;1;0;10369,18;1;1;0;10369,18;3;3;0;29407,57;1;1;0;10369,18;1;1;0;10369,18;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;4;4;0;41476,72;2;2;0;20738,36;1;1;0;7840,09;NA;NA;NA;NA;1;1;0;10369,18;2;2;0;18209,27;2;2;0;20738,36;1;1;0;10369,18;NA;NA;NA;NA;1;1;0;10369,18;1;1;0;10369,18;NA;NA;NA;NA;8;8;0;80424,35;"X";"X"
"10";594481;"HOSPITAL PORTUGUES";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";"Colectomia Parcial - Hospital";"Pacote Misto";1;1;0;6096,53;NA;NA;NA;NA;2;2;0;14353,59;3;3;0;22610,65;1;1;0;6096,53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;6096,53;4;3;0;21450,15;NA;NA;NA;NA;1;1;0;8257,06;4;3;8257,06;22610,65;1;1;0;8257,06;1;1;0;6096,53;NA;NA;NA;NA;2;2;0;14353,59;2;2;0;12193,06;1;1;0;8257,06;1;1;0;8257,06;12;11;8257,06;80025,01;"X";"X"
