"";"CODIGO";"NOME";"ESPECIALIDADE";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ESP"
"1";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"Outros";1641;67941;2758,26;696711;1848;57626;4685,55;689751;2186;72039;2974,72;854749,5;1983;80275;0;894550;2026;74682;0;858298,9;1968;73997;-1408,54;860700;1979;77262;0;868988,5;2122;81865;536,26;879626,5;2298;69839;4414,18;836729,5;1998;71863;54927,22;788401;1930;71415;0;821666;1924;98467;0;827333;1683;83896;4970,19;803630,5;1476;73787;22356,28;703162;2395;76488;234965,7;955198,1;2113;76692;223,5;815613,5;2161;121604;0;1105272;2219;93816;4105,67;1059635,5;1741;84188;0;875174,5;2954;97743;0;1215220;16742;708214;266621,34;7532906,1;"X"
"2";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"Sem procedimento na especialidade";155;61030;0;436207,59;161;51438;0;383120,9;216;62361;0;525130,31;171;70196;0;714736,8;219;65526;0;579133,82;192;66128;0;643100,62;208;69068;0;605993,9;240;72392;0;631072,35;206;60724;0;545275,62;191;65004;0;573142,21;207;64622;0;514053,25;199;72398;0;694036,88;176;76670;0;671503,75;180;67716;0;531568,27;216;67933;0;532498,46;202;69109;0;528887,56;208;112230;0;944619,01;224;85976;0;794622,96;206;76963;0;724666,86;243;88262;0;768660,48;1655;644859;0;5497027,35;"X"
"3";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";1207;2852;-110;206224,36;1420;3172;0;232613,5;1870;4189;0;299675,66;1748;4055;0;284172,16;1886;4014;0;279304,64;1621;3869;-493,92;272795,18;1783;4324;0;305112,46;1791;4167;65;293474,96;1929;3833;-134,28;271634,48;1744;3830;15340;270308,1;1884;4167;0;294061,46;1600;3765;0;254905,87;1543;3928;-129,04;267898,18;1502;3601;585;256394,7;2102;4508;32389,72;314627,68;1694;3670;0;261323,26;1862;5064;0;354241,66;1866;4854;0;344789,88;1772;4571;0;319605,02;2376;5568;0;393948,36;14717;35764;32845,68;2512828,74;"X"
"4";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"ULTRA-SONOGRAFIA";325;515;0;47073,88;433;638;0;50976,75;569;882;0;75335,19;493;770;0;65727,45;555;905;0;78799,3;405;665;0;61249,09;500;797;0;67282,93;439;692;0;60007,94;497;757;660,28;62913,85;378;600;208,79;49224,76;477;780;0;63194,43;399;606;0;51521,55;351;514;553,18;42739,13;358;559;224,77;45890,87;532;788;816,21;61240,34;422;648;0;50372,75;355;577;0;52532,75;513;809;0;63045,38;391;612;0;49094,15;543;844;0;67216,79;3465;5351;1594,16;432132,16;""
"5";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"TOMOGRAFIA COMPUTADORIZADA";83;102;0;24529,68;109;123;0;30786,44;150;171;0;45114,65;109;134;0;30952,36;161;195;0;46750,78;155;189;0;43974,96;139;167;0;40088,8;176;205;0;46382,51;162;192;0;46734,48;146;171;187,8;39191,49;142;159;0;39162,79;151;158;0;40090,4;145;170;811,78;43897,17;132;164;390,85;38255,74;172;190;3577,39;45530,72;144;166;233,13;39714,1;148;176;0;42036,86;145;172;0;40074,01;149;177;0;41861,34;202;238;0;57344,38;1237;1453;5013,15;348714,32;""
"6";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"PATOLOGIA CLÍNICA";236;5718;0;40744,44;220;5511;0;39416,74;251;6935;0;50375,02;271;7647;0;54070,72;326;7853;0;56690,4;246;6988;0;45778,4;226;7097;0;43498,98;225;5745;0;34709,54;191;4800;874,5;30350,76;285;6507;213,4;47101,12;202;5247;0;33611,96;167;4392;0;25963,52;162;5486;-39,6;30022,08;223;4933;378,62;30862,84;286;6296;5856,62;40667,14;215;4975;0;35166,78;262;8095;0;52609,26;210;6788;0;41811,48;189;6174;0;35867,48;193;5606;0;28554,66;1740;48353;6195,64;295561,72;""
"7";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";34;57;0;33814,67;40;74;0;38658,77;69;112;0;59945,71;65;97;0;67088,74;50;70;0;43268,72;42;74;-12914,89;35439,89;55;99;0;64284,59;58;101;0;53030,88;53;86;0;31662,19;49;76;130;43949,34;43;79;0;27812,63;35;58;0;10371,23;35;66;0;19737,65;47;111;0;43036,89;55;91;14408,03;58929,47;34;56;0;21435,49;42;111;0;47952,68;27;49;0;21027,59;53;132;0;29342,86;58;108;0;39180,81;351;724;14408,03;280643,44;""
"8";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"GINECOLOGIA E OBSTETRÍCIA";48;53;0;14393,17;52;58;0;15093,97;48;55;0;27375,17;83;94;0;31247,44;89;93;0;14809,2;73;80;0;16876,4;123;132;0;26601,42;98;111;2936,15;38499,89;84;95;0;29917,03;82;90;0;22211,48;83;88;0;16963,95;75;85;0;17927,66;68;74;0;22889,96;91;97;0;21572,63;110;115;2936,15;22031,29;90;101;0;34732,72;104;122;0;44516,1;93;110;0;37631,51;74;89;0;44466,4;116;129;0;31810,74;746;837;2936,15;259651,35;""
"9";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"ORTOPEDIA E TRAUMATOLOGIA";11;19;0;18966,46;16;28;0;40493,67;11;19;0;28146,53;23;34;0;31877,08;22;30;0;3421,21;12;20;0;29558,56;21;42;0;23613,82;24;35;0;30375,27;22;34;0;36043,87;25;52;0;75148,45;21;33;0;29690,02;23;32;0;19122,98;22;37;0;43626,61;19;32;0;19514,69;30;54;14340,88;49047,81;19;49;0;10904,53;20;45;0;21735,78;9;25;0;12595,46;28;69;0;64243,93;23;59;0;23240,46;170;370;14340,88;244909,27;""
"10";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"ENDOSCOPIA DIGESTIVA ";45;47;0;16836,87;54;57;0;18691,31;78;82;0;25007,52;88;96;0;31632,81;72;78;0;26968,93;79;87;0;25156,71;89;95;0;29801,41;91;102;0;35177,29;80;86;0;29095,3;81;88;0;21850,69;100;105;0;35938,25;81;80;0;24727,42;62;76;-65;22544,62;58;61;209,79;24669,34;96;95;5189,66;28563,34;79;87;0;27117,17;84;90;0;27006,96;71;78;0;22319,46;82;90;0;28111,14;96;105;0;37830,06;628;682;5334,45;218162,09;""
