"";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"COD_ESPECIALIDADE";"NOME_ESPECIALIDADE";"DATA_INI_HAB";"COD_EDITAL"
"1";15166416000151;"HOSPITAL PORTUGUES";"2120";"ANATOMIA PATOLOGICA";2000-11-01 01:00:00;"010/09.1"
"2";15166416000151;"HOSPITAL PORTUGUES";"1600";"ANESTESIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"3";15166416000151;"HOSPITAL PORTUGUES";"3900";"ANGIOLOGIA/CIR.VASCULAR PERIFERICA";2000-11-01 01:00:00;"010/09.1"
"4";15166416000151;"HOSPITAL PORTUGUES";"2010";"CARDIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"5";15166416000151;"HOSPITAL PORTUGUES";"4100";"CIRURGIA CABECA E PESCOCO";2000-11-01 01:00:00;"010/09.1"
"6";15166416000151;"HOSPITAL PORTUGUES";"4000";"CIRURGIA CARDIOVASCULAR";2000-11-01 01:00:00;"010/09.1"
"7";15166416000151;"HOSPITAL PORTUGUES";"4400";"CIRURGIA ENDOCRINOLOGICA";2000-11-01 01:00:00;"010/09.1"
"8";15166416000151;"HOSPITAL PORTUGUES";"4300";"CIRURGIA GASTROENTEROLOGICA";2010-06-01 00:00:00;"010/09.1"
"9";15166416000151;"HOSPITAL PORTUGUES";"5400";"CIRURGIA PLASTICA REPARADORA";2000-11-01 01:00:00;"010/09.1"
"10";15166416000151;"HOSPITAL PORTUGUES";"5500";"CIRURGIA TORACICA";2000-11-01 01:00:00;"010/09.1"
"11";15166416000151;"HOSPITAL PORTUGUES";"2121";"CITOPATOLOGIA";2000-11-01 01:00:00;"010/09.1"
"12";15166416000151;"HOSPITAL PORTUGUES";"0000";"CONSULTAS";2010-09-01 00:00:00;"010/09.1"
"13";15166416000151;"HOSPITAL PORTUGUES";"4200";"DERMATOLOGIA CLIN / CIR";2000-11-01 01:00:00;"010/09.1"
"14";15166416000151;"HOSPITAL PORTUGUES";"2201";"ELETROENCEFALOGRAFIA  E NEUROFISIOLOGIA CLÍNICA";2010-06-01 00:00:00;"010/09.1"
"15";15166416000151;"HOSPITAL PORTUGUES";"2320";"ENDOSCOPIA DIGESTIVA";2000-11-01 01:00:00;"010/09.1"
"16";15166416000151;"HOSPITAL PORTUGUES";"2420";"ENDOSCOPIA PERORAL";2000-11-01 01:00:00;"010/09.1"
"17";15166416000151;"HOSPITAL PORTUGUES";"2510";"FISIATRIA  (  FISIOTERAPIA )";2008-06-01 00:00:00;"010/09.1"
"18";15166416000151;"HOSPITAL PORTUGUES";"4501";"GINECOLOGIA";2008-06-01 00:00:00;"010/09.1"
"19";15166416000151;"HOSPITAL PORTUGUES";"4020";"HEMODINAMICA";2000-11-01 01:00:00;"010/09.1"
"20";15166416000151;"HOSPITAL PORTUGUES";"2730";"HEMOTERAPIA";2000-11-01 01:00:00;"010/09.1"
"21";15166416000151;"HOSPITAL PORTUGUES";"2820";"LAB ANALISES CLINICAS(PATOLOGIA CLIN)";2000-11-01 01:00:00;"010/09.1"
"22";15166416000151;"HOSPITAL PORTUGUES";"4700";"MASTOLOGIA";2000-11-01 01:00:00;"010/09.1"
"23";15166416000151;"HOSPITAL PORTUGUES";"3120";"MEDICINA NUCLEAR (CINTILOGRAFIA)";2000-11-01 01:00:00;"010/09.1"
"24";15166416000151;"HOSPITAL PORTUGUES";"4600";"MICROCIRURGIA RECONSTRUTIVA";2015-12-01 01:00:00;"010/09.1"
"25";15166416000151;"HOSPITAL PORTUGUES";"1510";"NEFROLOGIA";2000-11-01 01:00:00;"010/09.1"
"26";15166416000151;"HOSPITAL PORTUGUES";"4900";"NEUROCIRURGIA";2000-11-01 01:00:00;"010/09.1"
"27";15166416000151;"HOSPITAL PORTUGUES";"1710";"NUTRICAO ENTERAL/PARENTERAL";2000-11-01 01:00:00;"010/09.1"
"28";15166416000151;"HOSPITAL PORTUGUES";"4500";"OBSTETRICIA";2008-06-01 00:00:00;"010/09.1"
"29";15166416000151;"HOSPITAL PORTUGUES";"5000";"OFTALMOLOGIA";2010-06-01 00:00:00;"010/09.1"
"30";15166416000151;"HOSPITAL PORTUGUES";"3010";"ONCOLOGIA";2000-11-01 01:00:00;"010/09.1"
"31";15166416000151;"HOSPITAL PORTUGUES";"5200";"ORTOPEDIA/TRAUMATOLOGIA";2010-09-01 00:00:00;"010/09.1"
"32";15166416000151;"HOSPITAL PORTUGUES";"5100";"OTORRINOLARINGOLOGIA";2000-11-01 01:00:00;"010/09.1"
"33";15166416000151;"HOSPITAL PORTUGUES";"3220";"RADIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"34";15166416000151;"HOSPITAL PORTUGUES";"3520";"RADIOTERAPIA";2000-11-01 01:00:00;"010/09.1"
"35";15166416000151;"HOSPITAL PORTUGUES";"3620";"RESSONANCIA NUCLEAR MAGNETICA";2000-11-01 01:00:00;"010/09.1"
"36";15166416000151;"HOSPITAL PORTUGUES";"2902";"TISIOPNEUMOLOGIA";2010-06-01 00:00:00;"010/09.1"
"37";15166416000151;"HOSPITAL PORTUGUES";"3420";"TOMOGRAFIA COMPUTADORIZADA";2000-11-01 01:00:00;"010/09.1"
"38";15166416000151;"HOSPITAL PORTUGUES";"3320";"ULTRASSONOGRAFIA";2000-11-01 01:00:00;"010/09.1"
"39";15166416000151;"HOSPITAL PORTUGUES";"5600";"UROLOGIA";2008-02-01 01:00:00;"010/09.1"
