"";"CODIGO";"NOME";"ESPECIALIDADE";"ITEM";"GRUPO";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ESP";"MAIORES_ITS"
"1";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Plantão De 12 Horas Por Paciente Em Uti";"Honorários";52;502;0;47190;55;591;0;57018;59;684;0;65390;50;656;0;58968;49;621;0;54444;55;679;0;61152;50;783;0;71370;59;610;0;56862;48;493;0;46878;55;487;0;46800;52;637;0;57564;65;590;0;54522;61;791;0;66612;57;611;0;55302;88;693;16458;62634;56;521;0;49764;62;1044;0;94302;80;985;0;84864;67;805;0;71448;71;910;0;79092;542;6360;16458;564018;"X";"X"
"2";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Clinica Geral - Visita Hospitalar";"Honorários";71;453;0;37960;60;361;0;29185;98;521;0;40755;89;587;0;45695;69;479;0;33995;72;438;0;35100;82;437;0;34060;90;580;65;43485;76;493;0;35620;84;573;11440;43940;71;443;0;34775;77;372;0;28470;69;451;-325;33865;89;566;0;46735;89;476;5785;36465;81;492;0;38415;88;550;0;42640;90;566;0;48750;78;566;0;44460;105;665;0;57720;689;4332;5460;349050;"X";"X"
"3";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Honorários Intensivista Não Plantonista P/Dia";"Honorários";49;215;0;12214,8;52;274;0;16005,6;56;308;0;18064,8;46;289;0;15724,8;43;266;0;13899,6;54;307;0;16520,4;45;361;0;19609,2;57;282;0;15724,8;46;235;0;13244,4;52;227;0;13291,2;48;280;0;15256,8;63;290;0;16099,2;58;372;0;18907,2;55;282;0;15537,6;82;305;4071,6;16801,2;51;251;0;14508;62;518;0;27846;77;483;0;25178,4;60;370;0;19983,6;69;436;0;22838,4;514;3017;4071,6;161600,4;"X";"X"
"4";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Oftalmologia   - Consulta Ambulatorial";"Consulta  Eletiva";247;247;0;16055;256;255;0;16575;358;353;0;22945;292;287;0;18655;311;312;0;20280;246;246;0;15990;283;283;0;18395;272;270;0;17550;309;305;0;19825;281;276;0;17940;276;272;0;17680;243;242;0;15730;285;276;130;17940;271;266;260;17290;348;344;0;22360;231;230;0;14950;274;271;0;17615;301;299;0;19435;281;278;0;18070;376;377;0;24505;2367;2341;390;152165;"X";"X"
"5";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Pediatria - Visita Hospitalar";"Honorários";36;145;0;9685;25;113;0;8190;40;165;0;12285;28;133;0;10790;57;282;0;21450;62;333;0;23530;58;301;0;22100;59;310;0;21905;57;282;0;19955;50;273;0;19500;66;344;0;23985;51;222;0;15210;39;186;0;12675;31;143;0;10205;66;292;1235;20930;49;255;0;18005;55;258;0;19370;62;319;0;23010;51;264;0;18070;70;339;0;22945;423;2056;1235;145210;"X";"X"
"6";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"EVIPROSTAT F 19,2 mg. - Cx. 60 drags.";"Medicamento Comum";145;144;0;9360;151;151;0;9815;250;251;0;16315;209;208;0;13520;193;193;0;12545;188;186;0;12090;206;205;0;13325;166;166;0;10790;192;189;0;12285;174;172;0;11180;255;255;0;16575;177;176;0;11440;170;168;65;10920;161;156;65;10140;282;281;0;18265;235;233;0;15145;253;249;0;16185;222;221;0;14365;230;223;0;14495;298;299;0;19435;1851;1830;130;118950;"X";"X"
"7";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Ginecologia   - Consulta Ambulatorial";"Consulta  Eletiva";112;110;0;7150;143;143;0;9295;145;140;0;9100;180;179;0;11635;189;188;0;12220;172;171;0;11115;230;230;0;14950;192;192;0;12480;216;215;0;13975;196;193;0;12545;222;221;0;14365;174;174;0;11310;149;146;260;9490;160;157;0;10205;243;243;0;15795;187;184;0;11960;213;212;0;13780;222;223;0;14495;182;180;0;11700;258;256;0;16640;1614;1601;260;104065;"X";"X"
"8";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"Otorrinolaringologia   - Consulta Ambulatorial";"Consulta  Eletiva";131;131;0;8515;141;141;0;9165;200;199;0;12935;162;160;0;10400;208;207;0;13455;145;145;0;9425;144;144;0;9360;194;192;0;12480;223;220;0;14280;194;192;0;12480;170;170;0;11050;163;163;0;10595;113;110;65;7150;155;154;0;10010;179;179;0;11635;169;166;0;10790;204;201;0;13065;201;199;0;12935;189;189;0;12285;265;264;0;17160;1475;1462;65;95030;"X";"X"
"9";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"ANESTESICO - 10 ml.";"Medicamento Comum";143;142;0;9230;162;162;0;10530;204;204;0;13260;236;236;0;15340;230;230;0;14950;231;231;0;15015;214;215;0;13975;159;159;0;10335;199;193;195;12545;171;170;0;11050;186;186;0;12090;184;183;0;11890,97;144;144;0;9360;126;126;0;8190;176;176;0;11440;162;162;0;10530;163;160;0;10400;207;206;0;13390;201;201;0;13065;262;261;0;16965;1441;1436;0;93340;"X";"X"
"10";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTAS";"SINERGEN - 2,5 mg. + 10 mg. caps. gel. dura 3 strp. x 10";"Medicamento Comum";16;16;0;1040;75;75;0;4875;91;90;0;5850;91;91;0;5915;101;101;0;6565;43;43;0;2795;88;88;0;5720;104;103;0;6695;111;111;0;7215;144;145;0;9425;163;162;0;10530;122;121;0;7865;120;117;65;7605;112;112;0;7280;220;218;0;14170;155;154;0;10010;189;189;0;12285;154;154;0;10010;173;172;0;11180;255;256;0;16640;1378;1372;65;89180;"X";"X"
