"";"CODIGO";"NOME";"ESPECIALIDADE";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ESP"
"1";779689;"HBA - HOSPITAL DA BAHIA";"Sem procedimento na especialidade";596;196438;0;2785370,94;528;236921;0;2539196,8;641;301966;0;3309019,01;573;234019;0;2766133,47;630;297181;0;3587304,79;676;281187;0;3091923,28;736;283433;0;3446957,02;692;257026;0;3111280,11;664;242510;0;3042711,36;676;264037;0;3074858,26;604;212093;0;2547789,29;704;190398;0;2781023,81;569;203801;0;2652507,72;617;208286;0;2875713,93;758;251242;0;3645344,13;560;139911;0;2125604,06;640;244613;0;3286493,99;709;224649;0;3442223,54;661;198280;0;2680215,17;754;243106;0;2721938;5268;1713888;0;23430040,54;"X"
"2";779689;"HBA - HOSPITAL DA BAHIA";"Outros";2012;212920;165818,54;1958337;2114;251679;118711,54;2080778,01;2531;326546;78791,85;2519180,5;2249;250793;71483,75;2061490,5;2847;314339;0;2497602,83;2755;296960;17340,92;2506712;2435;304817;15491,88;2413523;2873;272972;162420,12;2567497,18;2144;258496;173958,66;2211384,5;3139;282498;11023,19;2576710;1792;227157;151097,7;1963700;2859;233778;62915,02;2173594,2;2420;218985;945055,28;2133106,5;2273;228114;179484,66;2203098,5;3218;293832;112548,02;2746913,6;2173;151209;447293,43;1731920,5;2595;261719;39507,26;2623718;2466;241301;-14167,77;2493915,5;3304;212771;94673,48;2477993,5;3238;257318;26791,83;2883153;21687;1865249;1831186,19;19293819,1;"X"
"3";779689;"HBA - HOSPITAL DA BAHIA";"CONSULTAS";1117;7227;11613,4;565904,81;479;6911;3876,6;562529,64;1082;9184;2269,8;731988,97;993;7495;0;574479,72;1006;8653;0;694146,8;1618;9790;-603,2;786485,89;2048;10123;124,8;808933,24;1495;9275;1433;739334,28;1430;8650;967,2;686681,55;1546;8862;2197;699506,22;1201;8086;1869,4;639295,18;1529;7666;9869,6;608699,42;987;7672;83816,4;634082,89;1646;8821;9575,8;692700,89;1630;9539;13436,8;789743,9;1041;6048;33885,32;492258,04;1752;9941;1365;803254,7;1543;9490;-4616;763459,12;1403;8031;18732,82;648947,7;1545;10827;3889;883860,22;11547;70369;160085,14;5708307,46;"X"
"4";779689;"HBA - HOSPITAL DA BAHIA";"CIRURGIA CARDÍACA-HEMODINÂMICA (CARDIOVASCULAR)";24;54;37909,54;463064,25;26;82;0;428663,18;20;50;0;396051,31;24;48;0;394506,69;31;68;0;335418,35;37;75;0;413482,8;29;77;0;705447,84;40;93;0;751250,79;30;64;0;429668,88;31;68;0;441997,74;27;64;0;303532,3;33;80;0;434243,09;36;90;73883,3;655885,57;35;81;0;638427,59;29;74;0;504708,73;14;32;0;440860,46;41;84;0;561637,84;29;78;0;337474,21;21;61;0;396326,73;37;75;0;566243,02;242;575;73883,3;4101564,15;"X"
"5";779689;"HBA - HOSPITAL DA BAHIA";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";139;297;403;466852,43;87;158;240,5;214452,37;158;299;0;414003,75;127;254;0;355381,25;152;314;0;435185,87;158;295;260;414500,53;214;300;0;445208,32;169;317;0;413742,13;170;316;2405,16;286424,89;189;384;0;448125,45;127;237;520;368993,3;187;356;0;482773,04;145;258;45849,24;259379,38;149;253;0;403374,24;169;321;0;299724,35;112;208;325;305825,23;164;287;0;417763,87;180;331;0;419550,73;143;222;2734,34;257780,26;164;271;0;250906,84;1226;2151;48908,58;2614304,9;"X"
"6";779689;"HBA - HOSPITAL DA BAHIA";"NEUROCIRURGIA";10;38;0;143706,27;13;45;0;181730,52;12;27;0;80925,36;12;48;0;288093,05;20;62;0;299090,54;22;56;21348,56;290168,61;22;79;20573,72;304159,05;22;85;1470,3;331307,43;15;47;0;206185,32;11;24;0;90227,5;15;69;36641,73;268871,5;17;49;0;233727,05;11;32;22679,77;148009,79;22;54;676;358441,94;11;25;16369,7;142419,12;18;63;19191,7;270072,57;16;54;0;304583,2;15;58;0;236314,47;16;49;0;276114,8;11;29;1014;147229,15;120;364;59931,17;1883185,04;"X"
"7";779689;"HBA - HOSPITAL DA BAHIA";"UROLOGIA";58;133;-270,4;193935,96;57;111;0;184381,1;82;169;0;337512,73;73;153;5384,46;313171,73;80;158;0;340842,19;60;137;0;274004,59;63;128;0;248590,63;67;145;0;284885,11;50;105;10597,41;189355,07;61;130;0;250579,1;40;90;9106,61;183445,49;69;134;0;266092,55;57;102;29532,36;173370,09;59;129;2184,73;213080,56;79;163;0;344549,47;65;139;0;235297,21;73;161;0;300193,79;49;107;0;200363,4;48;104;9106,61;146002,15;63;148;0;245661,13;493;1053;40823,7;1858517,8;"X"
"8";779689;"HBA - HOSPITAL DA BAHIA";"ORTOPEDIA E TRAUMATOLOGIA";33;81;0;188190,9;29;65;439,4;211274,34;40;87;0;214322,93;57;123;14120,48;394099,33;50;113;0;305759,74;59;128;0;341643,73;56;133;0;286227,72;51;111;887,25;279478,25;45;99;0;256064,76;55;111;0;300946,92;49;102;1352;227645,75;59;128;0;270990,03;54;121;8101,83;236614,69;58;157;0;270693,76;45;102;0;220784,84;45;105;0;197685,44;55;129;0;279908,74;44;114;0;133196,96;42;91;0;248298,56;50;104;0;251711,24;393;923;8101,83;1838894,23;""
"9";779689;"HBA - HOSPITAL DA BAHIA";"TOMOGRAFIA COMPUTADORIZADA";584;767;466,26;200047,43;503;662;464,78;173888,33;667;871;0;224554,59;500;668;0;169942,33;614;848;0;214266,89;720;973;564,25;245202,82;623;868;564,25;221273,42;717;963;849,97;245043,7;589;813;0;204584,43;694;945;390,85;234828,77;498;647;781,7;170663,35;653;859;0;223527,93;556;742;8763,02;188116,53;565;748;1593,91;196889,16;802;1083;187,8;285442,73;549;737;2546,64;187853,59;673;926;0;238410,11;571;782;-233,13;200768,3;773;1060;1044,91;264076,91;735;975;563,4;252031,98;5224;7053;14466,55;1813589,31;""
"10";779689;"HBA - HOSPITAL DA BAHIA";"RADIODIAGNÓSTICO";580;1174;3994,48;112726,58;427;1085;1482,76;96164,63;511;1310;49,88;214494,35;461;1019;57,54;84037,18;547;1306;0;136343,64;479;1236;18,52;170054,68;425;1186;18,21;271443,63;476;1202;40,38;202208,03;449;1176;58,59;126644,9;484;1196;80,76;166197,74;493;1184;473,65;203132,02;481;1060;40,38;184889,39;469;1113;23297,54;179004,52;403;1199;110,97;233705;549;1430;148,06;268011,48;402;956;1114,15;151459,78;555;1446;-13012,57;232158,5;489;1344;16577,38;193331,2;436;1170;206,34;218706,73;520;1316;13,46;152014,67;3823;9974;28455,33;1628391,88;""
