"";"CODIGO";"NOME";"TRATAMENTO";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_TTM"
"1";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"INTERNAÇÃO - CLÍNICA";101;125246;2648,26;995794,54;106;107474;2755,03;903713,22;139;131765;2288;1243141,64;121;149087;0;1569370,35;110;127570;0;1188106,75;103;119840;-25626,78;1172533,82;115;132879;0;1235331,31;131;139441;3537,41;1261133,88;125;117588;4109,95;1049301,82;113;120302;71345,21;1062696,39;96;112028;0;968010,92;114;153410;0;1161377,2;115;146512;1695,89;1240128,64;138;136145;5995,66;1161062,78;157;129738;276812,31;1192551,34;111;130156;0;981040,9;119;223128;0;1852360,27;134;163175;0;1649945,58;118;148726;0;1435787,19;138;167920;0;1579075,69;1030;1245500;284503,86;11091952,39;"X"
"2";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"PRONTO SOCORRO";1601;1922;0;320587,94;1725;2064;0;353125,53;1992;2421;0;411728,61;1841;2242;0;380249,58;1839;2276;0;393254,33;1819;2211;0;382047,3;1825;2216;0;385753,5;1917;2348;0;416298,14;2103;2584;0;459616,74;1828;2234;0;397050,33;1730;2096;0;371281,02;1762;2116;0;378880,61;1538;1890;0;335448,55;1282;1534;0;275314,9;2205;2618;10180,6;472639,6;1956;2308;456,63;411858,88;1988;2390;0;431399,35;2028;2459;0;444265,4;1560;1806;0;328968,79;2761;3428;0;611879,39;15318;18433;10637,23;3311774,86;"X"
"3";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"INTERNAÇÃO -  PEDIATRICA";36;7790;0;76853,44;28;5989;1930,52;60303,29;45;8995;686,72;86680,94;26;7492;0;80433,2;58;15927;0;157920,82;63;20232;34,2;186301,9;53;19614;0;177427,61;61;19311;0;184353,43;58;15823;0;149511,28;51;16610;0;146665,85;66;22214;0;188703,77;52;11818;0;120334,45;41;10323;68,4;101039,5;42;9384;16226,62;87715,59;70;18820;17519,61;168301,04;51;16091;0;140904,97;56;16452;0;148713,65;61;21598;0;173019,62;51;18481;0;143666,83;70;22776;0;180862,98;442;133925;33814,63;1144224,18;"X"
"4";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"CONSULTA";1105;1209;0;78585;1317;1491;0;96915;1747;2017;0;131105;1643;1851;0;120315;1769;2042;0;132730;1478;1683;0;109395;1660;1976;0;128430;1651;1899;0;123435;1796;2049;195;133165;1616;1876;0;121940;1758;2064;0;134160;1466;1716;0;111535,97;1428;1611;910;104715;1381;1583;585;102895;1924;2265;0;147225;1567;1786;0;116090;1729;2005;0;130325;1705;2015;0;130975;1649;1895;0;123175;2231;2684;0;174460;13614;15844;1495;1029860;""
"5";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"SADT";656;3224;0;82329,79;836;3408;0;99946,86;1008;4018;0;136881,82;1020;4593;0;130277,3;1116;5714;0;152445,37;934;3933;0;120863,38;997;3949;0;127506,95;915;2737;0;106578,41;973;2882;1622,98;107204,43;942;5122;0;118181,06;1049;4547;0;134413,27;779;2359;0;93524,32;708;2308;1339,53;85012,41;762;3098;1116,04;88310,7;1075;4388;-21,78;127991,57;898;3899;0;112680,53;828;4131;0;117175,5;914;3518;0;118068,53;794;2869;0;100062,69;1028;3161;0;133647,75;7007;27372;2433,79;882949,68;""
"6";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"INTERNAÇÃO - CIRÚRGICA";14;327;0;38023,24;20;225;0;64671,05;30;397;0;80662,31;24;241;0;71483,98;20;1914;0;74634,31;30;6384;-12914,89;191092,01;28;209;0;111978,14;32;1442;-5037,75;93073,28;27;592;-20234,46;78191,88;31;3895;0;168873,06;27;6001;0;151573,79;17;9722;0;140453,11;24;9466;1650;154867,68;21;428;114;46811,06;19;30;18847,02;68132,45;25;2347;0;110360,32;27;1721;0;138480,99;21;1564;4308,47;78037,44;37;664;0;131116,63;28;727;0;89543,2;202;16947;24919,49;817349,77;""
"7";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"AMBULATORIAL";419;1522;0;41308,14;461;1919;0;47290,37;603;2452;0;71975,74;546;2424;0;58925,85;644;3049;0;72500,73;500;1844;0;54530,51;570;2407;0;58087,49;572;2199;0;63071,24;601;2343;104;66336,75;538;2004;0;60456,36;569;2052;0;62214,14;488;1949;0;54414,66;472;1867;462,19;46802,95;515;1998;562,79;52434,15;669;2685;0;70605,09;520;2145;0;53229,54;604;2349;0;65136,29;579;2206;0;66654,84;552;2181;0;58772,74;738;2689;0;77608,51;4649;18120;1024,98;491244,11;""
"8";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"HOSPITAL DIA";18;30;0;13118,91;13;73;0;9267,9;14;14;0;9688,14;20;22;0;15242,38;26;56;0;18638,74;17;197;0;11651,41;16;165;0;11447,44;28;125;0;23264,04;25;250;0;17052,95;12;83;0;7071,46;33;156;0;22756,96;31;205;0;15704,14;15;43;0;10929,08;25;87;0;18418,16;25;109;5801,9;9656,48;20;42;0;13030,13;17;68;0;10963;17;248;0;10722,28;26;176;0;18321,57;29;61;0;22709,66;174;834;5801,9;114750,36;""
"9";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"TERCEIRIZADO AMBULATORIO";NA;NA;NA;NA;1;1;0;65;NA;NA;NA;NA;1;1;0;65;1;1;0;65;1;1;0;65;NA;NA;NA;NA;1;1;0;65;NA;NA;NA;NA;1;1;0;65;1;1;0;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;65;1;1;0;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;130;""
"10";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;""
