"";"CODIGO";"NOME";"ITEM_MEDICO";"ITEM";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ITS"
"1";594231;"HOSPITAL EMEC";72001023;"Emergência Geral Nível 2 - Média  Complexidade";561;631;0;141028,5;587;640;447;143040;691;760;0;169860;551;624;223,5;139464;481;534;0;119349;567;625;0;139687,5;544;584;0;130524;656;730;0;163155;640;724;0;161814;611;699;0;156226,5;544;634;0;141699;612;708;0;158238;588;675;223,5;150862,5;401;447;0;99904,5;739;875;0;195562,5;656;773;1117,5;172765,5;657;731;0;163378,5;662;736;0;164496;1080;1235;0;276022,5;983;1104;0;246744;5766;6576;1341;1469736;"X"
"2";594231;"HOSPITAL EMEC";71001113;"Uti Adulto";21;135;0;99900;15;88;0;65120;15;83;0;61420;16;101;0;74740;15;97;0;71780;19;92;0;68080;26;162;0;119880;14;37;0;27380;25;121;0;89540;25;139;1480;102860;22;143;0;105820;28;160;0;118400;22;183;0;135420;21;131;1480;96940;22;150;0;111000;17;98;31820;72520;16;115;0;85100;21;184;0;136160;27;155;0;114700;18;112;0;82880;164;1128;33300;834720;"X"
"3";594231;"HOSPITAL EMEC";71001013;"Enfermaria Adulto";69;490;0;73500;47;354;1050;53100;54;385;0;57750;53;268;0;40200;50;329;0;49350;52;355;0;53250;64;422;0;63300;61;280;0;42000;69;423;0;63450;74;405;150;60750;55;342;0;51300;63;340;0;51300;67;382;300;57300;57;320;0;48000;71;320;0;48000;70;376;1800;56400;69;534;0;80100;72;516;0;77400;74;498;0;74700;66;464;0;69600;546;3410;2100;511500;"X"
"4";594231;"HOSPITAL EMEC";72001003;"Atendimento Basico De Emergencia";436;510;113,5;57885;485;549;0;62311,5;589;669;0;75931,5;449;519;0;58906,5;439;504;0;57204;473;558;0;63333;377;441;0;50053,5;462;537;0;60949,5;424;493;0;55955,5;459;526;0;59701;380;440;0;49940;370;440;0;49940;406;461;0;52323,5;319;362;113,5;41087;480;542;0;61517;416;476;113,5;54026;426;485;0;55047,5;391;449;0;50961,5;555;627;0;71164,5;512;574;0;65149;3505;3976;227;451276;"X"
"5";594231;"HOSPITAL EMEC";20110;"Clinica Geral - Visita Hospitalar";60;679;0;64090;53;545;0;52780;59;691;0;62855;52;501;0;50895;58;575;0;56030;56;623;0;57200;66;653;0;60060;73;398;0;40105;90;711;0;69940;80;696;260;64805;67;610;0;56420;81;677;0;64740;76;582;1820;51415;62;459;0;37830;78;538;0;50570;66;462;5915;40950;85;765;0;67275;79;677;0;55445;81;678;0;59735;72;600;0;50310;599;4761;7735;413530;"X"
"6";594231;"HOSPITAL EMEC";219415;"NUTRICAO ENTERAL HIPERCALORICA/HIPERPROTEICA 1000 ML SIST FECHADO";15;130;0;47953,1;13;126;0;46477,62;14;159;0;58650,33;8;79;0;29140,73;14;126;0;46477,62;8;116;0;42788,92;14;106;0;39100,22;8;26;0;9590,62;11;80;0;29509,6;14;173;0;63814,51;15;123;0;45371,01;17;140;0;51641,8;15;136;0;50166,32;10;94;0;34673,78;12;162;0;59756,94;10;84;0;30985,08;11;160;0;59019,2;13;143;0;52748,41;15;131;0;48321,97;12;104;0;38362,48;98;1014;0;374034,18;"X"
"7";594231;"HOSPITAL EMEC";71001043;"Apartamento Adulto";33;270;0;60750;28;217;0;48825;39;319;900;71775;34;281;0;63225;25;233;0;52425;26;240;0;54000;35;204;0;45900;38;217;0;48825;47;339;0;76275;40;290;2475;65250;33;246;0;55350;48;315;0;70875;32;195;3375;43875;27;131;675;29475;37;205;0;46125;28;162;3375;36450;45;290;0;65250;33;185;0;41625;40;232;450;52200;38;217;0;48825;280;1617;7875;363825;"X"
"8";594231;"HOSPITAL EMEC";84508197;"Parto Cesarea Feto Único Ou Múltiplo - Hospital";15;15;0;41170,5;16;16;0;43915,2;15;15;0;41170,5;17;17;0;46659,9;13;13;0;35681,1;15;15;0;41170,5;14;13;0;35681,1;22;22;0;60383,4;14;13;2744,7;37379,51;17;17;0;50784,61;14;14;0;41822,62;18;18;0;53771,94;10;10;0;29873,3;15;15;0;44809,95;11;11;0;32860,63;21;21;0;62017,25;24;24;0;71695,92;13;13;0;38835,29;12;12;0;35847,96;13;13;0;38835,29;119;119;0;354775,59;"X"
"9";594231;"HOSPITAL EMEC";33012520;"Doppler Colorido Venoso De Membro Inferior - Unilateral";131;261;0;43083,27;95;187;0;30868,09;181;353;0;58269,71;105;207;0;34169,49;98;194;0;32023,58;139;277;0;45724,39;141;279;0;46054,53;118;236;0;38956,52;142;278;330,14;45889,46;122;241;0;39781,87;148;294;0;48530,58;130;262;0;43248,34;157;314;0;51831,98;145;288;0;47540,16;161;316;0;52162,12;119;234;330,14;38604,24;123;246;0;40607,22;106;212;0;34994,84;128;256;0;42257,92;125;249;0;41102,43;1064;2115;330,14;349100,91;"X"
"10";594231;"HOSPITAL EMEC";33012512;"Doppler Colorido Arterial de Membro Inferior - Unilateral";118;236;0;38956,52;92;183;0;30207,81;166;326;0;53812,82;98;194;0;32023,58;84;168;0;27731,76;133;265;0;43743,55;128;254;0;41927,78;119;238;0;39286,66;144;286;0;47210,02;118;232;0;38296,24;154;307;0;50676,49;134;267;0;44073,69;161;322;0;53152,54;143;284;0;46879,88;158;313;0;51666,91;104;207;0;34169,49;122;244;0;40277,08;101;202;0;33344,14;109;218;0;35985,26;123;245;0;40442,15;1021;2035;0;335917,45;"X"
"11";594231;"HOSPITAL EMEC";14501;"Ginecologia   - Consulta Ambulatorial";363;363;0;23595;404;403;65;26195;504;503;0;32695;526;526;0;34190;510;510;0;33150;394;394;0;25610;509;513;0;33345;628;629;0;40885;619;619;0;40235;578;577;0;37505;604;603;0;39195;498;498;0;32370;530;529;0;34385;485;485;0;31525;686;685;0;44525;504;505;0;32825;603;603;0;39195;598;598;0;38870;642;641;0;41665;630;630;0;40950;4678;4676;0;303940;"X"
"12";594231;"HOSPITAL EMEC";19265;"MEROPENEM - GENERICO - 1 g FA";3;64;0;9491,84;4;107;0;15869,17;6;149;0;22098,19;3;125;0;18538,75;7;341;0;50573,71;8;299;0;44344,69;14;234;0;34704,54;2;18;0;2669,58;4;46;0;6822,26;4;68;0;11850,48;5;146;0;25618,62;7;277;0;48605,19;8;218;0;38252,46;3;59;0;10352,73;11;211;0;37024,17;6;169;0;29654,43;8;314;0;55097,58;11;308;0;54044,76;9;197;0;34567,59;9;189;0;33163,83;65;1665;0;292157,55;"X"
"13";594231;"HOSPITAL EMEC";80310002;"Acompanhamento Paciente Portador De Endocrinopatia";114;115;0;10695;121;122;0;11346;221;222;0;20646;203;203;0;18879;178;179;0;16647;179;181;0;16833;191;194;0;18042;244;249;0;23157;297;304;0;28272;337;341;0;31713;325;329;0;30597;315;316;0;29388;258;262;0;24366;380;387;0;35991;410;413;0;38409;392;397;0;36921;413;418;0;38874;390;400;0;37200;331;333;0;30969;504;526;0;48918;3078;3136;0;291648;"X"
"14";594231;"HOSPITAL EMEC";84305187;"Colecistectomia Sem Colangiografia Por Videolaparoscopia  - Hospital";13;13;0;29746,6;10;10;0;22882;23;23;0;52628,6;8;8;0;18305,6;19;19;0;43475,8;17;17;0;38899,4;14;14;0;32034,8;9;9;0;20593,8;9;9;0;20593,8;14;14;0;32034,8;17;17;0;38899,4;12;12;0;27458,4;13;13;0;31162,56;14;14;0;34866,72;18;18;0;44828,64;15;15;0;37357,2;12;12;0;29885,76;10;10;0;24904,8;9;9;0;22414,32;18;18;0;44828,64;109;109;0;270248,64;"X"
"15";594231;"HOSPITAL EMEC";85604933;"Ureterorrenolitotripsia Transureteroscópica A Laser (Hospital)";1;2;0;15115,12;2;2;0;15115,12;2;2;0;15115,12;NA;NA;NA;NA;2;2;0;15115,12;2;2;0;15115,12;2;2;0;15115,12;5;5;0;37787,8;3;3;0;22672,68;2;2;0;15115,12;2;2;0;15115,12;2;2;0;15115,12;2;2;0;15115,12;5;5;0;37787,8;7;7;0;52902,92;3;3;0;22672,68;5;4;0;30230,24;5;6;0;45345,36;1;1;0;7557,56;4;4;0;30230,24;32;32;0;241841,92;"X"
"16";594231;"HOSPITAL EMEC";71006293;"Respirador Qualquer Tipo Com Oxigenio  Por Hora";5;957;0;26796;5;435;0;12180;6;542;0;15176;6;533;0;14924;2;306;0;8568;2;177;0;4956;11;1574;0;44072;2;122;0;3416;9;667;0;18676;9;958;0;26824;11;1309;0;36652;13;1557;0;43596;10;1715;0;48020;7;831;0;23268;11;1562;0;43736;10;1054;17108;29512;7;291;0;8148;14;1006;0;28168;13;849;0;23772;9;1001;0;28028;81;8309;17108;232652;"X"
"17";594231;"HOSPITAL EMEC";206986;"PIPERACILINA  +  TAZOBACTAM  -  GENERICO - 4 g + 0,5 g po liof. sol. inj. IV FA vd. x 40 ml";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;94;0;8663,98;5;145;0;13364,65;8;194;0;17880,98;8;138;0;12715,89;7;177;0;16314,09;14;409;0;35761,96;11;246;0;22673,82;14;521;0;48020,57;13;333;0;30692,61;80;2163;0;197424,57;"X"
"18";594231;"HOSPITAL EMEC";19440;"CIPROFLOXACINO - GENERICO - 2 mg/ml bolsa poliet. 200 ml";31;243;0;14640,75;26;166;0;10001,5;19;126;0;7591,5;14;115;0;6928,75;15;158;0;9519,5;17;115;0;6928,75;13;70;0;4217,5;13;35;0;2108,75;21;201;0;12110,25;29;227;0;23851,47;12;82;0;11458,68;17;162;0;22637,88;17;91;0;12716,34;15;132;0;18445,68;31;171;0;23879,26;21;159;0;22218,66;30;198;0;27668,52;12;141;0;19703,34;29;212;0;29624,88;24;220;0;30742,8;179;1324;0;184999,48;"X"
"19";594231;"HOSPITAL EMEC";84404057;"Tireoidectomia Total (Com Ou Sem Esvaziamento Seletivo Bilateral) ( Hospital )";2;2;0;15249,15;2;0;12,98;0;1;1;0;7627,82;5;5;0;38139,1;3;3;0;22883,46;3;3;0;22883,46;3;3;0;22883,46;3;3;0;22883,46;6;6;0;45766,92;4;4;0;30511,28;1;1;0;7627,82;4;4;0;30511,28;2;2;0;15255,64;NA;NA;NA;NA;5;5;0;38139,1;NA;NA;NA;NA;7;7;0;53394,74;3;3;0;22883,46;2;2;0;15255,64;4;4;0;30511,28;23;23;0;175439,86;"X"
"20";594231;"HOSPITAL EMEC";10110;"EVIPROSTAT F 19,2 mg. - Cx. 60 drags.";307;307;0;19955;291;291;0;18915;304;303;0;19695;256;256;0;16640;277;277;0;18005;302;305;0;19825;264;264;0;17160;325;326;0;21190;271;272;0;17680;289;290;0;18850;232;232;0;15080;353;353;0;22945;366;366;65;23790;294;294;0;19110;303;301;0;19565;295;296;0;19240;286;286;0;18590;282;282;0;18330;284;283;0;18395;452;453;0;29445;2562;2561;65;166465;"X"
"21";594231;"HOSPITAL EMEC";40010;"Plantão De 12 Horas Por Paciente Em Uti";21;255;0;19890;14;156;0;12168;14;147;0;11466;16;196;0;15288;15;185;0;14430;19;173;0;13494;26;310;0;24180;14;65;0;5070;24;232;0;18096;25;255;312;19890;22;274;0;21372;28;303;0;23634;22;354;0;27612;20;238;312;18564;22;291;0;22698;17;189;6396;14742;16;217;0;16926;20;342;0;26676;27;282;0;21996;18;203;0;15834;162;2116;6708;165048;"X"
