"";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"COD_ESPECIALIDADE";"NOME_ESPECIALIDADE";"DATA_INI_HAB";"COD_EDITAL"
"1";14074546000100;"HOSPITAL EMEC";"2120";"ANATOMIA PATOLOGICA";2000-11-01 01:00:00;"010/09.2"
"2";14074546000100;"HOSPITAL EMEC";"1600";"ANESTESIOLOGIA";2000-11-01 01:00:00;"010/09.2"
"3";14074546000100;"HOSPITAL EMEC";"3900";"ANGIOLOGIA/CIR.VASCULAR PERIFERICA";2000-11-01 01:00:00;"010/09.2"
"4";14074546000100;"HOSPITAL EMEC";"2010";"CARDIOLOGIA";2000-11-01 01:00:00;"010/09.2"
"5";14074546000100;"HOSPITAL EMEC";"4100";"CIRURGIA CABECA E PESCOCO";2000-11-01 01:00:00;"010/09.2"
"6";14074546000100;"HOSPITAL EMEC";"4000";"CIRURGIA CARDIOVASCULAR";2010-06-01 00:00:00;"010/09.2"
"7";14074546000100;"HOSPITAL EMEC";"4800";"CIRURGIA DA MAO";2010-04-01 00:00:00;"010/09.2"
"8";14074546000100;"HOSPITAL EMEC";"4400";"CIRURGIA ENDOCRINOLOGICA";2000-11-01 01:00:00;"010/09.2"
"9";14074546000100;"HOSPITAL EMEC";"4300";"CIRURGIA GASTROENTEROLOGICA";2000-11-01 01:00:00;"010/09.2"
"10";14074546000100;"HOSPITAL EMEC";"5300";"CIRURGIA PEDIATRICA";2000-11-01 01:00:00;"010/09.2"
"11";14074546000100;"HOSPITAL EMEC";"5400";"CIRURGIA PLASTICA REPARADORA";2000-11-01 01:00:00;"010/09.2"
"12";14074546000100;"HOSPITAL EMEC";"5500";"CIRURGIA TORACICA";2000-11-01 01:00:00;"010/09.2"
"13";14074546000100;"HOSPITAL EMEC";"2121";"CITOPATOLOGIA";2000-11-01 01:00:00;"010/09.2"
"14";14074546000100;"HOSPITAL EMEC";"0000";"CONSULTAS";2000-11-01 01:00:00;"010/09.2"
"15";14074546000100;"HOSPITAL EMEC";"4200";"DERMATOLOGIA CLIN / CIR";2000-11-01 01:00:00;"010/09.2"
"16";14074546000100;"HOSPITAL EMEC";"2201";"ELETROENCEFALOGRAFIA  E NEUROFISIOLOGIA CLÍNICA";2010-06-01 00:00:00;"010/09.2"
"17";14074546000100;"HOSPITAL EMEC";"2320";"ENDOSCOPIA DIGESTIVA";2010-06-01 00:00:00;"010/09.2"
"18";14074546000100;"HOSPITAL EMEC";"2420";"ENDOSCOPIA PERORAL";2000-11-01 01:00:00;"010/09.2"
"19";14074546000100;"HOSPITAL EMEC";"2510";"FISIATRIA  (  FISIOTERAPIA )";2010-06-01 00:00:00;"010/09.2"
"20";14074546000100;"HOSPITAL EMEC";"4501";"GINECOLOGIA";2000-11-01 01:00:00;"010/09.2"
"21";14074546000100;"HOSPITAL EMEC";"4020";"HEMODINAMICA";2010-06-01 00:00:00;"010/09.2"
"22";14074546000100;"HOSPITAL EMEC";"2730";"HEMOTERAPIA";2000-11-01 01:00:00;"010/09.2"
"23";14074546000100;"HOSPITAL EMEC";"2820";"LAB ANALISES CLINICAS(PATOLOGIA CLIN)";2000-11-01 01:00:00;"010/09.2"
"24";14074546000100;"HOSPITAL EMEC";"4700";"MASTOLOGIA";2000-11-01 01:00:00;"010/09.2"
"25";14074546000100;"HOSPITAL EMEC";"4600";"MICROCIRURGIA RECONSTRUTIVA";2016-05-12 00:00:00;"010/09.2"
"26";14074546000100;"HOSPITAL EMEC";"1510";"NEFROLOGIA";2000-11-01 01:00:00;"010/09.2"
"27";14074546000100;"HOSPITAL EMEC";"4900";"NEUROCIRURGIA";2000-11-01 01:00:00;"010/09.2"
"28";14074546000100;"HOSPITAL EMEC";"1710";"NUTRICAO ENTERAL/PARENTERAL";2000-11-01 01:00:00;"010/09.2"
"29";14074546000100;"HOSPITAL EMEC";"4500";"OBSTETRICIA";2000-11-01 01:00:00;"010/09.2"
"30";14074546000100;"HOSPITAL EMEC";"5000";"OFTALMOLOGIA";2000-11-01 01:00:00;"010/09.2"
"31";14074546000100;"HOSPITAL EMEC";"3010";"ONCOLOGIA";2000-11-01 01:00:00;"010/09.2"
"32";14074546000100;"HOSPITAL EMEC";"5200";"ORTOPEDIA/TRAUMATOLOGIA";2000-11-01 01:00:00;"010/09.2"
"33";14074546000100;"HOSPITAL EMEC";"5100";"OTORRINOLARINGOLOGIA";2000-11-01 01:00:00;"010/09.2"
"34";14074546000100;"HOSPITAL EMEC";"3220";"RADIOLOGIA";2000-11-01 01:00:00;"010/09.2"
"35";14074546000100;"HOSPITAL EMEC";"2902";"TISIOPNEUMOLOGIA";2016-05-12 00:00:00;"010/09.2"
"36";14074546000100;"HOSPITAL EMEC";"3420";"TOMOGRAFIA COMPUTADORIZADA";2000-11-01 01:00:00;"010/09.2"
"37";14074546000100;"HOSPITAL EMEC";"3320";"ULTRASSONOGRAFIA";2000-11-01 01:00:00;"010/09.2"
"38";14074546000100;"HOSPITAL EMEC";"5600";"UROLOGIA";2010-06-01 00:00:00;"010/09.2"
