"";"ANOMES";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"VALOR_COTA";"VALOR_APROVADO";"VAL_PAGO"
"1";"201601";14074546000100;"HOSPITAL EMEC";1602605,9;2293690,29;2292015,73
"2";"201602";14074546000100;"HOSPITAL EMEC";1602605,9;1905222,87;1902958,04
"3";"201603";14074546000100;"HOSPITAL EMEC";1602605,9;2531673,08;2528167,4
"4";"201604";14074546000100;"HOSPITAL EMEC";1602605,9;2267431,36;2266499,56
"5";"201605";14074546000100;"HOSPITAL EMEC";1602605,9;2548956,34;2544726,05
"6";"201606";14074546000100;"HOSPITAL EMEC";1602605,9;2337203,66;2335784,63
"7";"201607";14074546000100;"HOSPITAL EMEC";1602605,9;2409095,8;2402063,94
"8";"201608";14074546000100;"HOSPITAL EMEC";1602605,9;1939699,05;1936793,27
"9";"201609";14074546000100;"HOSPITAL EMEC";1602605,9;2480707,06;2476035,49
"10";"201610";14074546000100;"HOSPITAL EMEC";1602605,9;2285000,63;2280586,61
"11";"201611";14074546000100;"HOSPITAL EMEC";1602605,9;2212050,44;2209330,24
"12";"201612";14074546000100;"HOSPITAL EMEC";1602605,9;2335108,43;2330819,36
"13";"201701";14074546000100;"HOSPITAL EMEC";1602605,9;2247913,95;2243397,23
"14";"201702";14074546000100;"HOSPITAL EMEC";1602605,9;1870133,92;1869482,57
"15";"201703";14074546000100;"HOSPITAL EMEC";2303583,05;2388372,59;2385445,63
"16";"201704";14074546000100;"HOSPITAL EMEC";2303583,05;2005011,55;2003612,93
"17";"201705";14074546000100;"HOSPITAL EMEC";2303583,05;2492987,51;2432058,56
"18";"201706";14074546000100;"HOSPITAL EMEC";2303583,05;2529849,43;2368707,85
"19";"201707";14074546000100;"HOSPITAL EMEC";2303583,05;2488255,2;2296374
"20";"201708";14074546000100;"HOSPITAL EMEC";2303583,05;2466188,14;2298226,57
