"";"CODIGO";"NOME";"ANOMES";"BN";"QUANTIDADE";"VALOR";"REVISAO"
"1";594481;"HOSPITAL PORTUGUES";"201601";3660;126312;3879584,18;162732,79
"2";594481;"HOSPITAL PORTUGUES";"201602";3895;280364;7065452,04;201815,48
"3";594481;"HOSPITAL PORTUGUES";"201603";6038;591182;15192034,69;48361,67
"4";594481;"HOSPITAL PORTUGUES";"201604";4551;612653;14307758,21;374770,43
"5";594481;"HOSPITAL PORTUGUES";"201605";5033;462721;12015395,21;0
"6";594481;"HOSPITAL PORTUGUES";"201606";4603;491875;12766950,56;-890,46
"7";594481;"HOSPITAL PORTUGUES";"201607";4392;511590;12801779,77;650746,23
"8";594481;"HOSPITAL PORTUGUES";"201608";5271;561033;15069575,62;292373,91
"9";594481;"HOSPITAL PORTUGUES";"201609";5074;420105;11769445,79;156581,77
"10";594481;"HOSPITAL PORTUGUES";"201610";4692;499999;12905546,14;268215,22
"11";594481;"HOSPITAL PORTUGUES";"201611";4477;393776;11573761,73;162669,68
"12";594481;"HOSPITAL PORTUGUES";"201612";4192;456782;12201784,37;62288,58
"13";594481;"HOSPITAL PORTUGUES";"201701";5156;423146;12368271,94;1188256,78
"14";594481;"HOSPITAL PORTUGUES";"201702";4799;406445;11914700,2;653241,59
"15";594481;"HOSPITAL PORTUGUES";"201703";4705;503466;13987429,63;9890,31
"16";594481;"HOSPITAL PORTUGUES";"201704";4787;431589;12723128,46;720555,18
"17";594481;"HOSPITAL PORTUGUES";"201705";5954;603021;17039964,05;92483,21
"18";594481;"HOSPITAL PORTUGUES";"201706";4712;452778;12783695,29;166860,28
"19";594481;"HOSPITAL PORTUGUES";"201707";4363;497161;13012933,17;338941,73
"20";594481;"HOSPITAL PORTUGUES";"201708";4695;424604;11723586,42;161760,59
