"";"CODIGO";"NOME";"TRATAMENTO";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_TTM"
"1";594231;"HOSPITAL EMEC";"INTERNAÇÃO - CLÍNICA";128;85720;1235,05;1178643,02;108;65758;4860,73;859235,61;101;131230;927,65;1070342,01;97;142098;856,7;958770,01;82;90001;0;1003123,75;82;84294;0;869606,56;106;85980;0;1297883,71;117;68585;0;568282,88;123;124037;0;1219173,01;116;90818;17171,89;1214884,77;99;87998;0;1163910,2;124;83103;0;1215382,23;119;108518;26576,79;1260327,81;92;128392;2625,82;866877,12;123;142818;0;1046550,66;108;61187;177329,39;733491,2;119;85214;0;1077667,02;115;105244;0;1199070;121;113242;0;1084008,59;102;139546;0;993347,18;899;884161;206532;8261339,58;"X"
"2";594231;"HOSPITAL EMEC";"INTERNAÇÃO - CIRÚRGICA";80;3052;3,78;308273,69;61;487;468,54;200556,11;116;1475;45023,77;400493,06;89;579;0;320621,61;96;4818;0;437383,51;104;5857;0;432253,97;82;1131;36129,26;256255,43;85;859;0;355879,07;86;1776;0;397045,11;79;973;17208,28;284243,58;79;1407;0;299761,86;86;1144;0;359075,1;69;571;225;251933,52;88;1189;18787;322116,29;104;1035;0;435754,41;101;5901;0;477694,55;103;10424;0;524387,56;77;18469;0;515070,28;78;7628;55231,45;422021,07;94;2743;0;429192,21;714;47960;74243,45;3378169,89;"X"
"3";594231;"HOSPITAL EMEC";"PRONTO SOCORRO";1132;1668;29;263096,86;1193;1626;933,27;262935,71;1401;1944;698,76;312794,44;1167;1618;709,77;258398,01;1026;1414;0;227467,57;1153;1563;-84,5;260464,48;1013;1362;0;226720,57;1169;1597;0;273368,06;1109;1470;0;254898,06;1173;1593;0;263702,77;977;1362;0;233183;1066;1463;0;256112,73;1080;1466;476,85;253942,12;776;1024;198;164857,65;1294;1802;0;311821,68;1149;1563;2366,65;273885,12;1146;1545;0;266081,95;1137;1465;0;255678,07;1740;2383;0;424943,41;1630;2198;0;383913,14;9952;13446;3041,5;2335123,14;"X"
"4";594231;"HOSPITAL EMEC";"CONSULTA";1624;1775;0;115295;1854;2057;65;133705;2396;2674;0;173810;2012;2217;65;144105;2005;2234;0;145210;1975;2183;0;141895;2095;2355;0;153075;2458;2787;0;181155;2309;2584;65;167960;2201;2487;0;161655;2220;2480;0;161200;2164;2420;0;157300;2114;2407;65;156455;2407;2755;65;179075;2933;3323;0;215995;2553;2812;0;182780;2827;3131;0;203515;2329;2620;0;170300;2303;2596;0;168740;2866;3286;0;213590;20332;22930;130;1490450;"X"
"5";594231;"HOSPITAL EMEC";"SADT";1077;7633;1300,38;280454,9;1270;10157;9,24;297468,21;1778;10370;0;390685,2;1528;15024;0;415486,89;1596;23505;0;566136,87;1531;12116;0;418134,55;1121;5566;461,77;270616,1;1468;5265;0;292563,82;825;3191;990,42;203494,93;461;1798;0;125608,04;511;1385;0;141986,65;579;1304;0;126248,47;464;1279;0;149845,55;476;1313;48,4;134508,57;534;1356;0;149663,64;457;1125;0;110805,42;563;1834;0;140577,88;560;2030;0;121946,9;623;2960;0;147517,85;796;3884;0;165696,02;4473;15781;48,4;1120561,83;""
"6";594231;"HOSPITAL EMEC";"INTERNAÇÃO - OBSTÉTRICA";18;59;0;73605,93;17;97;0;67136,31;16;176;0;66903,92;19;101;0;76668,18;17;544;0;69125,41;19;64;0;80891,42;15;169;0;62757,33;26;105;0;102755,63;15;1388;4344,54;82487,69;17;58;0;78607,94;15;188;0;69619,09;18;60;0;82669,69;10;31;0;45526,93;16;49;0;73410,85;19;292;0;69638,29;26;681;0;107256,85;30;250;0;123170,56;19;310;0;76827,6;19;761;0;68390,5;14;395;0;67128;153;2769;0;631349,58;""
"7";594231;"HOSPITAL EMEC";"HOSPITAL DIA";18;374;86,34;22488,07;19;412;3,78;26277,57;14;438;0;25435,31;19;197;18,21;22671,26;21;382;0;36589,89;29;650;0;55482,72;35;587;42,98;60023,89;45;1132;0;78811,84;39;685;0;65127,97;50;1010;0;81322,26;42;475;0;66981,26;34;592;0;59480,81;36;718;2424,32;56511,21;33;375;0;53448,17;40;361;0;67834,81;32;647;0;40763,54;46;777;0;80019,88;46;275;0;79502,99;33;741;0;52170,14;35;465;0;60906,69;301;4359;2424,32;491157,43;""
"8";594231;"HOSPITAL EMEC";"PROGRAMA DE ENDOCRINOPATIA";116;119;0;10925;124;125;0;11511;233;242;0;21756;217;220;0;19814;191;197;0;17637;193;198;0;17768;207;213;0;19087;268;281;0;24917;318;331;0;29767;356;375;0;33593;353;366;0;32632;339;349;0;31241;277;285;0;25631;400;420;0;37806;437;455;0;40719;423;436;0;39106;439;447;0;40479;436;456;0;40280;351;363;0;32619;538;582;0;51998;3301;3444;0;308638;""
"9";594231;"HOSPITAL EMEC";"AMBULATORIAL";357;1251;346,04;25961,8;389;2058;1435,5;31284,17;500;2841;0;50896,42;431;1906;1528,23;34317,36;380;1967;0;29096,41;416;1965;0;34036,64;445;1737;-62,4;34149,84;564;1946;0;40369,21;535;2146;344,33;39724,12;430;991;0;25999,96;461;668;0;27932,34;416;696;0;28170,3;413;606;2073,01;28052,81;436;685;699,38;31152,27;591;1036;0;41769,2;479;754;143,27;37519,18;526;758;0;36211,12;473;706;0;35623,28;590;1039;0;40478,77;636;880;0;47686,47;4144;6464;2915,66;298493,1;""
"10";594231;"HOSPITAL EMEC";"PROGRAMA DE PEDIATRIA";134;134;0;12462;155;155;0;14415;179;179;0;16647;167;167;0;15531;162;162;0;15066;168;168;0;15624;137;137;0;12741;216;216;0;20088;175;175;0;16275;157;157;0;14601;154;154;0;14322;197;197;0;18321;211;211;0;19623;74;74;0;6882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;349;350;0;32550;398;402;0;37234;524;534;0;48826;1556;1571;0;145115;""
"11";594231;"HOSPITAL EMEC";"INTERNAÇÃO -  PEDIATRICA";2;84;0;2484,02;1;25;0;698,18;1;121;0;1909,72;1;10;0;1048,04;1;155;0;2119,93;6;799;0;11046,32;3;478;0;15785,93;1;14;0;1508,54;3;157;0;4754,17;1;63;0;782,31;1;9;0;522,04;2;21;0;1107,1;NA;NA;NA;NA;1;0;390;0;3;113;0;8625,9;2;21;0;1709,69;1;15;0;877,54;2;99;0;3000,31;1;663;0;10131,87;2;192;0;3904,43;12;1103;390;28249,74;""
"12";594231;"HOSPITAL EMEC";"TERCEIRIZADO AMBULATORIO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;65;""
"13";594231;"HOSPITAL EMEC";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;""
